TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000146"	"microfilament motor activity"	1	4.619760962552079	0.092387421083296	0.9701164243091338	0.49829267	null
"GO:0000149"	"SNARE binding"	1	5.0846012982948485	0.26943873427614345	0.9206649941369229	0.40559978	null
"GO:0000166"	"nucleotide binding"	48	6.920750929230189	18.476222463002568	0.9174794025435898	0.48160605	null
"GO:0005524"	"ATP binding"	41	6.748189655607454	12.418006524131227	0.9137238110224281	0.72942334	166
"GO:0000340"	"RNA 7-methylguanosine cap binding"	2	4.180613250611603	0.033608327627353635	0.9476843341207317	0.42104634	null
"GO:0000976"	"transcription cis-regulatory region binding"	5	6.154582810021198	3.1655181751733625	0.9193094385579699	0.31664803	null
"GO:0003690"	"double-stranded DNA binding"	1	6.218527627977945	3.667665085608766	0.924122582994479	0.57385456	976
"GO:0003691"	"double-stranded telomeric DNA binding"	1	3.926856708949692	0.01873560043042431	0.9450574217576385	0.84352794	976
"GO:0043047"	"single-stranded telomeric DNA binding"	1	4.249247289223952	0.03936272259917883	0.9426876271888815	0.52718984	976
"GO:0043565"	"sequence-specific DNA binding"	4	6.301308289243314	4.437827099656763	0.922451012613892	0.56098987	976
"GO:1990837"	"sequence-specific double-stranded DNA binding"	1	6.17398591610888	3.3101519546116385	0.9189236755400814	0.92825021	976
"GO:0003674"	"molecular_function"	9	7.654137704007378	100	1	-0	null
"GO:0003676"	"nucleic acid binding"	36	6.967593743204168	20.580503808256374	0.9411278764904909	0.20275684	null
"GO:0003680"	"minor groove of adenine-thymine-rich DNA binding"	2	4.011866356527724	0.022786960589778697	0.9517726307655306	0.19519762	null
"GO:0003682"	"chromatin binding"	6	5.452631183252122	0.6287702097345026	0.9556687776402477	0.04661592	null
"GO:0031490"	"chromatin DNA binding"	2	4.763472918254656	0.12862569569969962	0.9272395513506926	0.63447851	3682
"GO:0043021"	"ribonucleoprotein complex binding"	2	5.454427126932554	0.6313757642978531	0.955653402063583	0.73408711	3682
"GO:0043022"	"ribosome binding"	3	5.380815214698462	0.5329368041478477	0.954916385969841	0.72201118	3682
"GO:0043023"	"ribosomal large subunit binding"	1	4.72007657276814	0.11639400295804729	0.9598615399571849	0.83950774	3682
"GO:0003684"	"damaged DNA binding"	1	5.175036090323106	0.33181460177613226	0.9403499025777665	0.40218543	null
"GO:0003697"	"single-stranded DNA binding"	1	5.259017782047911	0.40260363864918647	0.9393076541150771	0.41085789	null
"GO:0003713"	"transcription coactivator activity"	3	5.041444007837079	0.24395086691346182	0.9693393828269257	0.29461398	null
"GO:0003700"	"DNA-binding transcription factor activity"	14	6.426909263541146	5.926133171202054	0.9835633246793443	0.57091976	3713
"GO:0003712"	"transcription coregulator activity"	1	5.515440657329576	0.7266104467082488	0.971290271939746	0.91085216	3713
"GO:0003714"	"transcription corepressor activity"	1	5.06344970575939	0.25663049329068593	0.9692245873347886	0.81944693	3713
"GO:0005484"	"SNAP receptor activity"	1	4.797634492739563	0.13915213613563573	0.9590542540990195	0.69116474	3713
"GO:0030674"	"protein-macromolecule adaptor activity"	1	5.740721031971022	1.2206258094127533	0.974951303170699	0.81546279	3713
"GO:1990247"	"N6-methyladenosine-containing RNA reader activity"	1	3.8949802909279687	0.0174095394696723	0.9807191809672384	0.59324808	3713
"GO:0003723"	"RNA binding"	48	6.43945443714506	6.099813894661886	0.927900773543416	0.40176997	null
"GO:0003677"	"DNA binding"	31	6.742345330646921	12.252016067246458	0.9211985850412491	0.5128201	3723
"GO:0003727"	"single-stranded RNA binding"	1	4.9399633037907975	0.19311705175580451	0.9401925612517594	0.48968021	null
"GO:0003729"	"mRNA binding"	31	5.709808254185246	1.136762432364793	0.9300196903212681	0	null
"GO:0000049"	"tRNA binding"	1	5.534542634598277	0.7592829921860417	0.932627314118226	0.56132411	3729
"GO:0003730"	"mRNA 3'-UTR binding"	1	4.842147244085764	0.15417121788676175	0.939848294598848	0.47960958	null
"GO:0035925"	"mRNA 3'-UTR AU-rich region binding"	1	3.7280289544205183	0.011852501396688121	0.9498762114715519	0.57054753	3730
"GO:0003735"	"structural constituent of ribosome"	6	5.982211513442491	2.128498588986873	0.9957656723800591	-0	null
"GO:0030527"	"structural constituent of chromatin"	1	4.952647169758943	0.19884040182219404	0.9957656723800591	0.66761407	3735
"GO:0003743"	"translation initiation factor activity"	8	5.226024760921264	0.37315089336372126	0.9172452462340493	0.24940265	null
"GO:0003746"	"translation elongation factor activity"	1	5.138444807652802	0.305002890945944	0.9186164341866985	0.84543293	3743
"GO:0003755"	"peptidyl-prolyl cis-trans isomerase activity"	2	5.164985988061432	0.32422412239711196	0.8780590553391917	0.42844795	null
"GO:0004165"	"delta(3)-delta(2)-enoyl-CoA isomerase activity"	1	3.9871745010875417	0.021527424426388823	0.9563884015273011	0.51278367	3755
"GO:0004619"	"phosphoglycerate mutase activity"	1	4.218929185088087	0.0367083831844294	0.9518460350126617	0.53284472	3755
"GO:0016866"	"intramolecular transferase activity"	1	5.400131997683375	0.5571762228133664	0.9455427513742758	0.66554328	3755
"GO:0046537"	"2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity"	1	3.9732202468522337	0.02084665400004958	0.9534399867680784	0.78310272	3755
"GO:0003774"	"cytoskeletal motor activity"	1	5.248093478138985	0.3926027441124113	1	-0	null
"GO:0003779"	"actin binding"	3	5.524616783710046	0.7421262469463454	0.9093692418236538	0.44654025	null
"GO:0008017"	"microtubule binding"	2	5.399979869020571	0.5569810834077709	0.9114798462896868	0.81327918	3779
"GO:0051015"	"actin filament binding"	3	5.341301940650691	0.4865889778256441	0.8933110222389894	0.80253675	3779
"GO:0003824"	"catalytic activity"	13	7.437525717606617	60.727864217389204	1	-0	null
"GO:0004064"	"arylesterase activity"	1	3.5596672783880576	0.008042848001082846	0.915502130688966	0.3692388	null
"GO:0004076"	"biotin synthase activity"	1	3.873959654743353	0.016586849475627156	0.9146616131447959	0.20205602	null
"GO:0004103"	"choline kinase activity"	1	3.601842789782098	0.008863320501882585	0.8881524585665113	0.3505363	null
"GO:0004305"	"ethanolamine kinase activity"	1	3.9066582176716	0.017884083024188903	0.8893166604050521	0.33108637	null
"GO:0004322"	"ferroxidase activity"	1	4.451202892057113	0.06266857660838222	0.931427241325847	0.3160356	null
"GO:0004334"	"fumarylacetoacetase activity"	1	3.7707047682157793	0.013076557668151514	0.9398070340024738	0.19229254	null
"GO:0004349"	"glutamate 5-kinase activity"	1	4.078275522086601	0.026552264120475875	0.8885916556311917	0.3394079	null
"GO:0004553"	"hydrolase activity, hydrolyzing O-glycosyl compounds"	2	5.861603104003009	1.6123703836391927	0.9046890764331185	0.31839638	null
"GO:0042973"	"glucan endo-1,3-beta-D-glucosidase activity"	1	4.217088951479171	0.036553158657251075	0.9262101591263063	0.76219594	4553
"GO:0090599"	"alpha-glucosidase activity"	1	4.543919117853336	0.07758343617697423	0.9223666096016225	0.6781753	4553
"GO:0004601"	"peroxidase activity"	2	5.334668834500719	0.4792135952914281	0.9129073152886723	0.37878622	null
"GO:0004784"	"superoxide dismutase activity"	1	4.346509448774761	0.04924387250070216	0.9232387203256514	0.75957795	4601
"GO:0045174"	"glutathione dehydrogenase (ascorbate) activity"	1	3.9299805905155147	0.018870867518393994	0.9256369703222025	0.70722407	4601
"GO:0004712"	"protein serine/threonine/tyrosine kinase activity"	1	4.404560059092356	0.056286631048107494	0.8424023554143275	0.44384691	null
"GO:0004715"	"non-membrane spanning protein tyrosine kinase activity"	1	4.436099009487429	0.060526478133321286	0.8395108893642167	0.44607451	null
"GO:0004714"	"transmembrane receptor protein tyrosine kinase activity"	1	4.757441581769158	0.12685170110337585	0.8310714365808385	0.82066943	4715
"GO:0004722"	"protein serine/threonine phosphatase activity"	3	5.10042224376436	0.27943519382642784	0.8410457538068864	0.42141607	null
"GO:0000175"	"3'-5'-RNA exonuclease activity"	1	4.904049802128764	0.1777897384435672	0.8629633488959894	0.82480733	4722
"GO:0003993"	"acid phosphatase activity"	1	4.553749563700167	0.0793596482665434	0.9012124329331329	0.61713148	4722
"GO:0004518"	"nuclease activity"	2	5.990708158877801	2.1705511308927274	0.8798196050422519	0.54357249	4722
"GO:0004519"	"endonuclease activity"	1	5.772134597008246	1.3121883230087588	0.8797815244989875	0.81489727	4722
"GO:0004521"	"RNA endonuclease activity"	1	5.445418927043971	0.6184145162784627	0.8499380796325768	0.75327688	4722
"GO:0004527"	"exonuclease activity"	1	5.542205274791192	0.7727986135167833	0.8851619184034331	0.60718022	4722
"GO:0004630"	"phospholipase D activity"	2	4.1103539826640025	0.02858792291975739	0.8993571745425094	0.69700025	4722
"GO:0004721"	"phosphoprotein phosphatase activity"	2	5.463407681137689	0.6445676316147657	0.8312547951332173	0.73545609	4722
"GO:0008408"	"3'-5' exonuclease activity"	1	5.322773183856701	0.46626565223151	0.8887733842457883	0.73248455	4722
"GO:0008970"	"phospholipase A1 activity"	1	4.013300786856888	0.022862355360122454	0.9035718751516151	0.68753783	4722
"GO:0017018"	"myosin phosphatase activity"	2	4.770829928310433	0.13082323150589567	0.8496532925032304	0.80066108	4722
"GO:0047714"	"galactolipase activity"	1	3.224014811372864	0.0037120836928074678	0.9152236086237125	0.54275812	4722
"GO:0052739"	"phosphatidylserine 1-acylhydrolase activity"	1	3.3841741388070337	0.0053685511471247786	0.9115802155317475	0.63191968	4722
"GO:0052740"	"1-acyl-2-lysophosphatidylserine acylhydrolase activity"	1	3.3811150807098507	0.005330853761952898	0.9116159055330529	0.63167117	4722
"GO:0070290"	"N-acylphosphatidylethanolamine-specific phospholipase D activity"	2	4.145507171409663	0.030998338077512295	0.8988356182268545	0.53494436	4722
"GO:0004842"	"ubiquitin-protein transferase activity"	5	5.635455597186226	0.9578927747107135	0.818388215743473	0.48775459	null
"GO:0008374"	"O-acyltransferase activity"	1	5.23888626480354	0.38436697419897825	0.8784422381515669	0.61538078	4842
"GO:0016747"	"acyltransferase activity, transferring groups other than amino-acyl groups"	1	6.0253316763396	2.350680324710197	0.8597666019516863	0.7480651	4842
"GO:0061630"	"ubiquitin protein ligase activity"	3	5.477968749157285	0.6665452071699717	0.8237120110185576	0.93792544	4842
