"","x"
"1","N0.HOG0011614"
"2","N0.HOG0006318"
"3","N0.HOG0004540"
"4","N0.HOG0008842"
"5","N0.HOG0008599"
"6","N0.HOG0002805"
"7","N0.HOG0008869"
"8","N0.HOG0006627"
"9","N0.HOG0003398"
"10","N0.HOG0012437"
"11","N0.HOG0008885"
"12","N0.HOG0008822"
"13","N0.HOG0008795"
"14","N0.HOG0008554"
"15","N0.HOG0004696"
"16","N0.HOG0008810"
"17","N0.HOG0008612"
"18","N0.HOG0016701"
"19","N0.HOG0016813"
"20","N0.HOG0008573"
"21","N0.HOG0002890"
"22","N0.HOG0012197"
"23","N0.HOG0006633"
"24","N0.HOG0016612"
"25","N0.HOG0012419"
"26","N0.HOG0011195"
"27","N0.HOG0008828"
"28","N0.HOG0008758"
"29","N0.HOG0008520"
"30","N0.HOG0012641"
"31","N0.HOG0008814"
"32","N0.HOG0005470"
"33","N0.HOG0016719"
"34","N0.HOG0016633"
"35","N0.HOG0016654"
"36","N0.HOG0008798"
"37","N0.HOG0003448"
"38","N0.HOG0006632"
"39","N0.HOG0008556"
"40","N0.HOG0008592"
"41","N0.HOG0008874"
"42","N0.HOG0006580"
"43","N0.HOG0012429"
"44","N0.HOG0006598"
"45","N0.HOG0002443"
"46","N0.HOG0008495"
"47","N0.HOG0008765"
"48","N0.HOG0008760"
"49","N0.HOG0012569"
"50","N0.HOG0008808"
"51","N0.HOG0016197"
"52","N0.HOG0008479"
"53","N0.HOG0008598"
"54","N0.HOG0008720"
"55","N0.HOG0002038"
"56","N0.HOG0008817"
"57","N0.HOG0008664"
"58","N0.HOG0008688"
"59","N0.HOG0001502"
"60","N0.HOG0013137"
"61","N0.HOG0012588"
"62","N0.HOG0005513"
"63","N0.HOG0013171"
"64","N0.HOG0013173"
"65","N0.HOG0006716"
"66","N0.HOG0003293"
"67","N0.HOG0012209"
"68","N0.HOG0009821"
"69","N0.HOG0001801"
"70","N0.HOG0009653"
"71","N0.HOG0009730"
"72","N0.HOG0004808"
"73","N0.HOG0004931"
"74","N0.HOG0009752"
"75","N0.HOG0009832"
"76","N0.HOG0009758"
"77","N0.HOG0000908"
"78","N0.HOG0014466"
"79","N0.HOG0009780"
"80","N0.HOG0009808"
"81","N0.HOG0020330"
"82","N0.HOG0005709"
"83","N0.HOG0009891"
"84","N0.HOG0002131"
"85","N0.HOG0001575"
"86","N0.HOG0009790"
"87","N0.HOG0003029"
"88","N0.HOG0009915"
"89","N0.HOG0009873"
"90","N0.HOG0014649"
"91","N0.HOG0009816"
"92","N0.HOG0014581"
"93","N0.HOG0005736"
"94","N0.HOG0009794"
"95","N0.HOG0004908"
"96","N0.HOG0009711"
"97","N0.HOG0017894"
"98","N0.HOG0005721"
"99","N0.HOG0009842"
"100","N0.HOG0009903"
"101","N0.HOG0009876"
"102","N0.HOG0003607"
"103","N0.HOG0014285"
"104","N0.HOG0017900"
"105","N0.HOG0009716"
"106","N0.HOG0009397"
"107","N0.HOG0014903"
"108","N0.HOG0009982"
"109","N0.HOG0005460"
"110","N0.HOG0020512"
"111","N0.HOG0005981"
"112","N0.HOG0010548"
"113","N0.HOG0015683"
"114","N0.HOG0007317"
"115","N0.HOG0010421"
"116","N0.HOG0010847"
"117","N0.HOG0007679"
"118","N0.HOG0007644"
"119","N0.HOG0007491"
"120","N0.HOG0007580"
"121","N0.HOG0007510"
"122","N0.HOG0002194"
"123","N0.HOG0007373"
"124","N0.HOG0010774"
"125","N0.HOG0007579"
"126","N0.HOG0007518"
"127","N0.HOG0005167"
"128","N0.HOG0010869"
"129","N0.HOG0007680"
"130","N0.HOG0007706"
"131","N0.HOG0002654"
"132","N0.HOG0015661"
"133","N0.HOG0010903"
"134","N0.HOG0015564"
"135","N0.HOG0006020"
"136","N0.HOG0007764"
"137","N0.HOG0015580"
"138","N0.HOG0007602"
"139","N0.HOG0007314"
"140","N0.HOG0010724"
"141","N0.HOG0007532"
"142","N0.HOG0003137"
"143","N0.HOG0007698"
"144","N0.HOG0006068"
"145","N0.HOG0007419"
"146","N0.HOG0007433"
"147","N0.HOG0010797"
"148","N0.HOG0007431"
"149","N0.HOG0005952"
"150","N0.HOG0010554"
"151","N0.HOG0006011"
"152","N0.HOG0005130"
"153","N0.HOG0007703"
"154","N0.HOG0007573"
"155","N0.HOG0007570"
"156","N0.HOG0007460"
"157","N0.HOG0002641"
"158","N0.HOG0006072"
"159","N0.HOG0007396"
"160","N0.HOG0007398"
"161","N0.HOG0005497"
"162","N0.HOG0006696"
"163","N0.HOG0003710"
"164","N0.HOG0008949"
"165","N0.HOG0004347"
"166","N0.HOG0008923"
"167","N0.HOG0006435"
"168","N0.HOG0006460"
"169","N0.HOG0003362"
"170","N0.HOG0006387"
"171","N0.HOG0011687"
"172","N0.HOG0004552"
"173","N0.HOG0008347"
"174","N0.HOG0011955"
"175","N0.HOG0010127"
"176","N0.HOG0002014"
"177","N0.HOG0008278"
"178","N0.HOG0010054"
"179","N0.HOG0015158"
"180","N0.HOG0009996"
"181","N0.HOG0004094"
"182","N0.HOG0003527"
"183","N0.HOG0010093"
"184","N0.HOG0000710"
"185","N0.HOG0015172"
"186","N0.HOG0010076"
"187","N0.HOG0015137"
"188","N0.HOG0007078"
"189","N0.HOG0010105"
"190","N0.HOG0020679"
"191","N0.HOG0010071"
"192","N0.HOG0009995"
"193","N0.HOG0010026"
"194","N0.HOG0010031"
"195","N0.HOG0008132"
"196","N0.HOG0005812"
"197","N0.HOG0009989"
"198","N0.HOG0008103"
"199","N0.HOG0003027"
"200","N0.HOG0008161"
"201","N0.HOG0001253"
"202","N0.HOG0006341"
"203","N0.HOG0016297"
"204","N0.HOG0008219"
"205","N0.HOG0008266"
"206","N0.HOG0008212"
"207","N0.HOG0008187"
"208","N0.HOG0006415"
"209","N0.HOG0016391"
"210","N0.HOG0011893"
"211","N0.HOG0008344"
"212","N0.HOG0008169"
"213","N0.HOG0003831"
"214","N0.HOG0011799"
"215","N0.HOG0008268"
"216","N0.HOG0016306"
"217","N0.HOG0001759"
"218","N0.HOG0006429"
"219","N0.HOG0008336"
"220","N0.HOG0011921"
"221","N0.HOG0008300"
"222","N0.HOG0009645"
"223","N0.HOG0002820"
"224","N0.HOG0004548"
"225","N0.HOG0002806"
"226","N0.HOG0011768"
"227","N0.HOG0016386"
"228","N0.HOG0008215"
"229","N0.HOG0011860"
"230","N0.HOG0007810"
"231","N0.HOG0004459"
"232","N0.HOG0007784"
"233","N0.HOG0006195"
"234","N0.HOG0007860"
"235","N0.HOG0006199"
"236","N0.HOG0007808"
"237","N0.HOG0017395"
"238","N0.HOG0017328"
"239","N0.HOG0009236"
"240","N0.HOG0009212"
"241","N0.HOG0009279"
"242","N0.HOG0013797"
"243","N0.HOG0002107"
"244","N0.HOG0009431"
"245","N0.HOG0020025"
"246","N0.HOG0005593"
"247","N0.HOG0009323"
"248","N0.HOG0009421"
"249","N0.HOG0009332"
"250","N0.HOG0009404"
"251","N0.HOG0001998"
"252","N0.HOG0009294"
"253","N0.HOG0009171"
"254","N0.HOG0006273"
"255","N0.HOG0002787"
"256","N0.HOG0002365"
"257","N0.HOG0006274"
"258","N0.HOG0013624"
