"","GOID","GOTERM","ONTOLOGY","HOGs_with_GO_COUNT","HOGs_with_GO","TOTAL_COUNT.all_GO_ID","TOTAL_COUNT.Freq","Ta_COUNT.Var1","Ta_COUNT.Freq","Os_COUNT.Var1","Os_COUNT.Freq","Ms_COUNT.Var1","Ms_COUNT.Freq","Sb_COUNT.Var1","Sb_COUNT.Freq","Zm_COUNT.Var1","Zm_COUNT.Freq","DEFINITION"
"1","GO:0006412","translation","BP",11,"N0.HOG0008814 N0.HOG0010031 N0.HOG0001759 N0.HOG0008758 N0.HOG0008923 N0.HOG0002773 N0.HOG0013171 N0.HOG0011614 N0.HOG0015172 N0.HOG0009279 N0.HOG0003527","GO:0006412",97,"GO:0006412",25,"GO:0006412",11,"GO:0006412",23,"GO:0006412",11,"GO:0006412",27,"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome."
"2","GO:0006414","translational elongation","BP",2,"N0.HOG0011614 N0.HOG0015172","GO:0006414",16,"GO:0006414",4,"GO:0006414",2,"GO:0006414",3,"GO:0006414",2,"GO:0006414",5,"The successive addition of amino acid residues to a nascent polypeptide chain during protein biosynthesis."
"3","GO:0009658","chloroplast organization","BP",2,"N0.HOG0006318 N0.HOG0009323","GO:0009658",19,"GO:0009658",6,"GO:0009658",2,"GO:0009658",5,"GO:0009658",2,"GO:0009658",4,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the chloroplast."
"4","GO:0072598","protein localization to chloroplast","BP",1,"N0.HOG0006318","GO:0072598",10,"GO:0072598",3,"GO:0072598",1,"GO:0072598",3,"GO:0072598",1,"GO:0072598",2,"A process in which a protein is transported to, or maintained at, a location in a chloroplast."
"5","GO:0090150","establishment of protein localization to membrane","BP",1,"N0.HOG0006318","GO:0090150",10,"GO:0090150",3,"GO:0090150",1,"GO:0090150",3,"GO:0090150",1,"GO:0090150",2,"The directed movement of a protein to a specific location in a membrane."
"6","GO:0006886","intracellular protein transport","BP",7,"N0.HOG0008215 N0.HOG0000856 N0.HOG0004540 N0.HOG0017328 N0.HOG0007679 N0.HOG0001950 N0.HOG0002014","GO:0006886",68,"GO:0006886",20,"GO:0006886",8,"GO:0006886",10,"GO:0006886",6,"GO:0006886",24,"The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
"7","GO:0015031","protein transport","BP",21,"N0.HOG0016633 N0.HOG0008215 N0.HOG0008592 N0.HOG0011549 N0.HOG0004540 N0.HOG0011860 N0.HOG0017328 N0.HOG0007396 N0.HOG0005947 N0.HOG0007679 N0.HOG0002131 N0.HOG0003137 N0.HOG0006435 N0.HOG0008300 N0.HOG0005546 N0.HOG0016386 N0.HOG0005513 N0.HOG0015158 N0.HOG0013797 N0.HOG0009323 N0.HOG0002014","GO:0015031",176,"GO:0015031",53,"GO:0015031",20,"GO:0015031",38,"GO:0015031",22,"GO:0015031",43,"The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"8","GO:0016192","vesicle-mediated transport","BP",10,"N0.HOG0008215 N0.HOG0011549 N0.HOG0000856 N0.HOG0004540 N0.HOG0017328 N0.HOG0007679 N0.HOG0002131 N0.HOG0006435 N0.HOG0009790 N0.HOG0002014","GO:0016192",99,"GO:0016192",28,"GO:0016192",11,"GO:0016192",18,"GO:0016192",11,"GO:0016192",31,"A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane."
"9","GO:0006325","chromatin organization","BP",8,"N0.HOG0004347 N0.HOG0017900 N0.HOG0008842 N0.HOG0008760 N0.HOG0005233 N0.HOG0008344 N0.HOG0013797 N0.HOG0003448","GO:0006325",60,"GO:0006325",18,"GO:0006325",7,"GO:0006325",15,"GO:0006325",6,"GO:0006325",14,"The assembly or remodeling of chromatin composed of DNA complexed with histones, other associated proteins, and sometimes RNA."
"10","GO:0009404","toxin metabolic process","BP",1,"N0.HOG0008842","GO:0009404",8,"GO:0009404",3,"GO:0009404",1,"GO:0009404",2,"GO:0009404",1,"GO:0009404",1,"The chemical reactions and pathways involving a toxin, a poisonous compound (typically a protein) that is produced by cells or organisms and that can cause disease when introduced into the body or tissues of an organism."
