TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000911"	"cytokinesis by cell plate formation"	1	3.5485122563410356	0.008712856488926366	0.9864782001597643	0.45372294	null
"GO:0002238"	"response to molecule of fungal origin"	2	3.4938761108528227	0.007682595099288114	0.8561750466668394	0.47317835	null
"GO:0045087"	"innate immune response"	1	5.021048647607189	0.2587114515870314	0.8541712544113961	0.68092009	2238
"GO:0050832"	"defense response to fungus"	1	4.402381764239098	0.0622494776476165	0.8619890455061001	0.84884078	2238
"GO:0071219"	"cellular response to molecule of bacterial origin"	1	4.347193361847937	0.054820750785488044	0.8367533959533522	0.53991706	2238
"GO:0005975"	"carbohydrate metabolic process"	2	6.335775531602232	5.3400641443698875	0.9480000801318849	0.15163831	null
"GO:0006013"	"mannose metabolic process"	1	4.312748420929561	0.050640551462936674	0.9464052548391848	0.33438746	null
"GO:0006096"	"glycolytic process"	1	5.267000324328207	0.4557945400484291	0.8377826242161245	0.48590569	null
"GO:0006109"	"regulation of carbohydrate metabolic process"	1	4.759871726408301	0.1417866428237562	0.9193648063327486	0.17609066	null
"GO:0006364"	"rRNA processing"	1	5.79699316292421	1.5444135826112384	0.8772859143564911	0.4946872	null
"GO:0006412"	"translation"	1	6.250564173903532	4.38869169324396	0.8626879215497344	0.25211911	null
"GO:0006414"	"translational elongation"	1	5.272173587163886	0.46125640425761183	0.8871532036566233	0.69115923	6412
"GO:0006508"	"proteolysis"	1	6.329401134014754	5.2622572267907	0.9096466465917662	0.54133226	6412
"GO:0006486"	"protein glycosylation"	1	5.484840590762116	0.7526798873357411	0.8766733169127588	0.43192082	null
"GO:0006629"	"lipid metabolic process"	4	6.41964998343091	6.477701939366011	0.9468844395095692	0.10901633	null
"GO:0006879"	"intracellular iron ion homeostasis"	1	5.233478391931892	0.421936404379863	1	-0	null
"GO:0006891"	"intra-Golgi vesicle-mediated transport"	2	4.766212013850938	0.1438718130046987	0.9110832468027599	0.2741348	null
"GO:0006888"	"endoplasmic reticulum to Golgi vesicle-mediated transport"	1	5.2275782202996	0.41624285459502003	0.892004856890261	0.78761977	6891
"GO:0006890"	"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum"	1	4.753337885232085	0.1396694310206479	0.9112669871543394	0.72205366	6891
"GO:0006897"	"endocytosis"	1	5.414408397847148	0.6399968963991822	0.9077262737742214	0.6135272	6891
"GO:0032509"	"endosome transport via multivesicular body sorting pathway"	1	4.774575354338735	0.1466692930937882	0.8993155393886066	0.54345819	6891
"GO:0043328"	"protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway"	1	4.421225399340183	0.06500998663420703	0.8384814402360833	0.93537592	6891
"GO:0006950"	"response to stress"	1	6.448313422563495	6.919654498638822	0.8798364605318134	0.4896406	null
"GO:0006952"	"defense response"	3	5.672842911348061	1.1604144588756624	0.876429535144067	0.24614308	null
"GO:0006979"	"response to oxidative stress"	1	5.521610056993851	0.8191810417707402	0.8798587756600312	0.53687298	6952
"GO:0007155"	"cell adhesion"	1	5.653223129732929	1.1091577223710762	0.9918552211007083	0.01321071	null
"GO:0007178"	"transmembrane receptor protein serine/threonine kinase signaling pathway"	1	4.697700009352491	0.12287469152544445	0.8443530521025387	0.44951817	null
"GO:0007517"	"muscle organ development"	1	4.474813372661389	0.07354784657130489	0.9164516963298328	0.40853039	null
"GO:0008150"	"biological_process"	2	7.608228868089044	100	1	-0	null
"GO:0008152"	"metabolic process"	2	7.368635761264388	57.597931274565454	1	-0	null
"GO:0008202"	"steroid metabolic process"	2	5.373590517844789	0.582585703698599	0.8534247524356472	-0	null
"GO:0008203"	"cholesterol metabolic process"	2	4.950739588119758	0.2200421431132646	0.837604392634995	0.45443823	null
"GO:0006694"	"steroid biosynthetic process"	2	5.077970774384052	0.2949431320360321	0.8160660333808412	0.85648652	8203
"GO:0006695"	"cholesterol biosynthetic process"	1	4.53370852323986	0.08423003045334361	0.8250516754266365	0.84610604	8203
"GO:0016126"	"sterol biosynthetic process"	1	4.916459212693559	0.20334106374439187	0.8180678878111277	0.90050232	8203
"GO:0008299"	"isoprenoid biosynthetic process"	1	5.330170175428303	0.527156162091961	0.8177359333941377	0.49264795	null
"GO:0006665"	"sphingolipid metabolic process"	1	5.222752877542226	0.4116436494441469	0.8357466194114643	0.52505877	8299
"GO:0033384"	"geranyl diphosphate biosynthetic process"	1	1.6901960800285136	0.00011830752799673709	0.8692281052267387	0.51748613	8299
"GO:0045337"	"farnesyl diphosphate biosynthetic process"	1	4.023869501388332	0.026037515119948552	0.8252721883315379	0.72426897	8299
"GO:0046513"	"ceramide biosynthetic process"	1	4.694982301079004	0.12210815733363226	0.8195287778628734	0.73090705	8299
"GO:0009624"	"response to nematode"	1	2.6522463410033232	0.0011042035946362127	0.9061332936456427	0.34321484	null
"GO:0009651"	"response to salt stress"	2	4.474143389760806	0.07343446852364134	0.8802376082010779	0.4259419	null
"GO:0009409"	"response to cold"	1	4.4562749128401675	0.07047431558355632	0.8787289565772816	0.61866717	9651
"GO:0009414"	"response to water deprivation"	1	3.8899736384039962	0.019128848432972426	0.8540275192844664	0.5675352	9651
"GO:0070417"	"cellular response to cold"	1	3.4542348957482654	0.007012185773973271	0.88577252910057	0.64112452	9651
"GO:0009734"	"auxin-activated signaling pathway"	3	4.484812146941042	0.07526084098709097	0.7958593720914472	0.00987901	null
"GO:0009733"	"response to auxin"	1	4.707246463517242	0.1256056236300358	0.8563658387700667	0.76164522	9734
"GO:0009739"	"response to gibberellin"	1	3.9401178667477184	0.02147035159124118	0.8663489391243777	0.6285796	9734
"GO:0009742"	"brassinosteroid mediated signaling pathway"	1	3.7942788657214	0.015345472277243437	0.8099938208768044	0.71406639	9734
"GO:0009873"	"ethylene-activated signaling pathway"	1	4.190863733128745	0.038247837905278456	0.8042650704015114	0.75736639	9734
"GO:0043434"	"response to peptide hormone"	1	4.90417978339357	0.19767216136121488	0.8485901941488676	0.73257258	9734
"GO:0009793"	"embryo development ending in seed dormancy"	2	3.9238654751855013	0.0206816347379296	0.8812401528239566	-0	null
"GO:0009880"	"embryonic pattern specification"	1	4.16790781000148	0.03627851051216611	0.8958727378604782	0.7816442	9793
"GO:0009942"	"longitudinal axis specification"	1	1.8692317197309762	0.0001799260321617043	0.9032758371029755	0.73875377	9793
