"","set.GOID","set.GOTERM","p_adjust","total","interest","set_total","set_interest"
"6","GO:0010311","lateral root formation",0.122194462732412,14771,34,59,2
"8","GO:0010087","phloem or xylem histogenesis",0.122194462732412,14771,29,59,2
"10","GO:0006013","mannose metabolic process",0.122194462732412,14771,3,59,1
"13","GO:0001736","establishment of planar polarity",0.122194462732412,14771,2,59,1
"25","GO:0032509","endosome transport via multivesicular body sorting pathway",0.122194462732412,14771,5,59,1
"26","GO:0048209","regulation of vesicle targeting, to, from or within Golgi",0.122194462732412,14771,2,59,1
"28","GO:0051641","cellular localization",0.122194462732412,14771,3,59,1
"31","GO:0002238","response to molecule of fungal origin",0.122194462732412,14771,21,59,2
"34","GO:0042759","long-chain fatty acid biosynthetic process",0.122194462732412,14771,2,59,1
"41","GO:0019748","secondary metabolic process",0.122194462732412,14771,2,59,1
"49","GO:0007517","muscle organ development",0.122194462732412,14771,5,59,1
"53","GO:0006694","steroid biosynthetic process",0.122194462732412,14771,40,59,2
"54","GO:0008202","steroid metabolic process",0.122194462732412,14771,40,59,2
"55","GO:0008203","cholesterol metabolic process",0.122194462732412,14771,16,59,2
"58","GO:0099175","regulation of postsynapse organization",0.122194462732412,14771,4,59,1
"59","GO:0006891","intra-Golgi vesicle-mediated transport",0.122194462732412,14771,16,59,2
"60","GO:0006695","cholesterol biosynthetic process",0.122194462732412,14771,4,59,1
"63","GO:0033384","geranyl diphosphate biosynthetic process",0.122194462732412,14771,4,59,1
"64","GO:0045337","farnesyl diphosphate biosynthetic process",0.122194462732412,14771,4,59,1
"67","GO:0009696","salicylic acid metabolic process",0.122194462732412,14771,5,59,1
"69","GO:0010047","fruit dehiscence",0.122194462732412,14771,3,59,1
"73","GO:0071219","cellular response to molecule of bacterial origin",0.122194462732412,14771,4,59,1
"85","GO:0018108","peptidyl-tyrosine phosphorylation",0.122194462732412,14771,5,59,1
"89","GO:1902882","regulation of response to oxidative stress",0.122194462732412,14771,5,59,1
"96","GO:0044843","cell cycle G1/S phase transition",0.122194462732412,14771,1,59,1
"103","GO:0006109","regulation of carbohydrate metabolic process",0.122194462732412,14771,5,59,1
"125","GO:0061617","MICOS complex",0.122194462732412,14771,2,59,1
"126","GO:0098800","inner mitochondrial membrane protein complex",0.122194462732412,14771,2,59,1
"144","GO:0000015","phosphopyruvate hydratase complex",0.122194462732412,14771,4,59,1
"149","GO:0043197","dendritic spine",0.122194462732412,14771,5,59,1
"153","GO:0098839","postsynaptic density membrane",0.122194462732412,14771,5,59,1
"162","GO:0031010","ISWI-type complex",0.122194462732412,14771,5,59,1
"170","GO:0043226","organelle",0.122194462732412,14771,4,59,1
"197","GO:0050291","sphingosine N-acyltransferase activity",0.122194462732412,14771,3,59,1
"207","GO:0004634","phosphopyruvate hydratase activity",0.122194462732412,14771,4,59,1
"209","GO:0004103","choline kinase activity",0.122194462732412,14771,4,59,1
"210","GO:0004305","ethanolamine kinase activity",0.122194462732412,14771,4,59,1
"212","GO:0004161","dimethylallyltranstransferase activity",0.122194462732412,14771,5,59,1
"213","GO:0004337","geranyltranstransferase activity",0.122194462732412,14771,5,59,1
"217","GO:0080031","methyl salicylate esterase activity",0.122194462732412,14771,5,59,1
"228","GO:0016872","intramolecular lyase activity",0.122194462732412,14771,5,59,1
"237","GO:0047998","hyoscyamine (6S)-dioxygenase activity",0.122194462732412,14771,1,59,1
"18","GO:0009880","embryonic pattern specification",0.127802227948828,14771,7,59,1
"19","GO:0009942","longitudinal axis specification",0.127802227948828,14771,6,59,1
"24","GO:0032012","regulation of ARF protein signal transduction",0.127802227948828,14771,6,59,1
"35","GO:0046513","ceramide biosynthetic process",0.127802227948828,14771,7,59,1
"51","GO:0046474","glycerophospholipid biosynthetic process",0.127802227948828,14771,6,59,1
"72","GO:0050777","negative regulation of immune response",0.127802227948828,14771,7,59,1
"78","GO:0009805","coumarin biosynthetic process",0.127802227948828,14771,7,59,1
"107","GO:0010929","positive regulation of auxin mediated signaling pathway",0.127802227948828,14771,7,59,1
"115","GO:0048598","embryonic morphogenesis",0.127802227948828,14771,7,59,1
"151","GO:0045211","postsynaptic membrane",0.127802227948828,14771,7,59,1
"171","GO:0001872","(1->3)-beta-D-glucan binding",0.127802227948828,14771,7,59,1
"184","GO:0004559","alpha-mannosidase activity",0.127802227948828,14771,7,59,1
"216","GO:0080030","methyl indole-3-acetate esterase activity",0.127802227948828,14771,7,59,1
"218","GO:0080032","methyl jasmonate esterase activity",0.127802227948828,14771,6,59,1
"27","GO:0048765","root hair cell differentiation",0.129576854329601,14771,8,59,1
"48","GO:0006657","CDP-choline pathway",0.129576854329601,14771,8,59,1
"52","GO:0009734","auxin-activated signaling pathway",0.129576854329601,14771,169,59,3
"56","GO:0016135","saponin biosynthetic process",0.129576854329601,14771,8,59,1
"66","GO:0009694","jasmonic acid metabolic process",0.129576854329601,14771,8,59,1
"94","GO:0001558","regulation of cell growth",0.129576854329601,14771,8,59,1
"155","GO:0017119","Golgi transport complex",0.129576854329601,14771,8,59,1
"42","GO:0006355","regulation of DNA-templated transcription",0.136803058636847,14771,1130,59,9
"84","GO:0010310","regulation of hydrogen peroxide metabolic process",0.136803058636847,14771,9,59,1
"92","GO:0010019","chloroplast-nucleus signaling pathway",0.136803058636847,14771,9,59,1
"117","GO:1902066","regulation of cell wall pectin metabolic process",0.136803058636847,14771,9,59,1
"46","GO:0006646","phosphatidylethanolamine biosynthetic process",0.137284014432014,14771,10,59,1
"57","GO:0098734","macromolecule depalmitoylation",0.137284014432014,14771,10,59,1
"65","GO:0040008","regulation of growth",0.137284014432014,14771,10,59,1
"152","GO:0055038","recycling endosome membrane",0.137284014432014,14771,10,59,1
"165","GO:0030126","COPI vesicle coat",0.137284014432014,14771,10,59,1
"211","GO:0008474","palmitoyl-(protein) hydrolase activity",0.137284014432014,14771,10,59,1
"227","GO:0005504","fatty acid binding",0.137284014432014,14771,10,59,1
"244","GO:0046983","protein dimerization activity",0.137284014432014,14771,189,59,3
"7","GO:0045893","positive regulation of DNA-templated transcription",0.139075774937154,14771,191,59,3
"47","GO:0006656","phosphatidylcholine biosynthetic process",0.143063208928248,14771,11,59,1
"166","GO:0030663","COPI-coated vesicle membrane",0.143063208928248,14771,11,59,1
"21","GO:0010540","basipetal auxin transport",0.148166133161003,14771,12,59,1
"70","GO:0043328","protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway",0.148166133161003,14771,12,59,1
"104","GO:0043434","response to peptide hormone",0.148166133161003,14771,12,59,1
"133","GO:0000326","protein storage vacuole",0.148166133161003,14771,12,59,1
"15","GO:0007155","cell adhesion",0.154546144854603,14771,13,59,1
"20","GO:0010274","hydrotropism",0.154546144854603,14771,13,59,1
"79","GO:0010015","root morphogenesis",0.154546144854603,14771,13,59,1
"87","GO:1901000","regulation of response to salt stress",0.155157621028428,14771,14,59,1
"105","GO:0045927","positive regulation of growth",0.155157621028428,14771,14,59,1
"118","GO:1905421","regulation of plant organ morphogenesis",0.155157621028428,14771,14,59,1
"138","GO:0010008","endosome membrane",0.155157621028428,14771,92,59,2
"157","GO:0009505","plant-type cell wall",0.155157621028428,14771,92,59,2
"247","GO:0004445","inositol-polyphosphate 5-phosphatase activity",0.155157621028428,14771,14,59,1
"29","GO:0070417","cellular response to cold",0.161726951214635,14771,15,59,1
"169","GO:0015935","small ribosomal subunit",0.161726951214635,14771,15,59,1
"205","GO:0003677","DNA binding",0.161726951214635,14771,1445,59,10
"3","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway",0.165707331962528,14771,16,59,1
"97","GO:0051302","regulation of cell division",0.165707331962528,14771,16,59,1
"176","GO:0004675","transmembrane receptor protein serine/threonine kinase activity",0.165707331962528,14771,16,59,1
"108","GO:0060918","auxin transport",0.172171590661319,14771,17,59,1
"246","GO:0035064","methylated histone binding",0.172171590661319,14771,17,59,1
"150","GO:0045202","synapse",0.178342031059903,14771,18,59,1
"164","GO:0030117","membrane coat",0.178342031059903,14771,18,59,1
"199","GO:0017018","myosin phosphatase activity",0.178677626979929,14771,109,59,2
"196","GO:0020037","heme binding",0.180214090139492,14771,241,59,3
"93","GO:0046856","phosphatidylinositol dephosphorylation",0.180726656559806,14771,19,59,1
"198","GO:0004722","protein serine/threonine phosphatase activity",0.180726656559806,14771,111,59,2
"90","GO:0009873","ethylene-activated signaling pathway",0.184595033132663,14771,114,59,2
"129","GO:0070161","anchoring junction",0.184595033132663,14771,20,59,1
"252","GO:0005198","structural molecule activity",0.184595033132663,14771,20,59,1
"40","GO:0006508","proteolysis",0.184888970774917,14771,405,59,4
"45","GO:0010090","trichome morphogenesis",0.184888970774917,14771,21,59,1
"102","GO:0006890","retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum",0.184888970774917,14771,21,59,1
"113","GO:0010030","positive regulation of seed germination",0.184888970774917,14771,21,59,1
"206","GO:0000287","magnesium ion binding",0.184888970774917,14771,117,59,2
"12","GO:0000911","cytokinesis by cell plate formation",0.191621788445397,14771,22,59,1
"116","GO:0048608","reproductive structure development",0.194816826195355,14771,23,59,1
"215","GO:0052689","carboxylic ester hydrolase activity",0.194816826195355,14771,23,59,1
"235","GO:0016706","2-oxoglutarate-dependent dioxygenase activity",0.194816826195355,14771,23,59,1
"245","GO:0051536","iron-sulfur cluster binding",0.195412825985406,14771,125,59,2
"214","GO:0016765","transferase activity, transferring alkyl or aryl (other than methyl) groups",0.207392940063529,14771,25,59,1
"33","GO:0006665","sphingolipid metabolic process",0.209977828482996,14771,26,59,1
"62","GO:0016126","sterol biosynthetic process",0.209977828482996,14771,26,59,1
"110","GO:0009630","gravitropism",0.209977828482996,14771,26,59,1
"32","GO:0006629","lipid metabolic process",0.210278778796863,14771,442,59,4
"119","GO:2000012","regulation of auxin polar transport",0.21093570596919,14771,27,59,1
"187","GO:0030246","carbohydrate binding",0.21093570596919,14771,136,59,2
"219","GO:0003700","DNA-binding transcription factor activity",0.21093570596919,14771,806,59,6
