"","GO.ID","Term","Annotated","Significant","Expected","weight01","Ontology"
"1","GO:0006891","intra-Golgi vesicle-mediated transport",17,2,0.05,0.0013,"BP"
"2","GO:0002238","response to molecule of fungal origin",21,2,0.07,0.002,"BP"
"3","GO:0032509","endosome transport via multivesicular bo...",22,2,0.07,0.0153,"BP"
"4","GO:0008203","cholesterol metabolic process",16,2,0.05,0.0363,"BP"
"5","GO:0006109","regulation of carbohydrate metabolic pro...",51,2,0.16,0.0512,"BP"
"6","GO:0060918","auxin transport",90,3,0.28,0.0557,"BP"
"7","GO:0009734","auxin-activated signaling pathway",178,3,0.56,0.0725,"BP"
"8","GO:0006694","steroid biosynthetic process",56,2,0.18,0.0857,"BP"
"9","GO:0050896","response to stimulus",3767,17,11.89,0.1382,"BP"
"10","GO:0016310","phosphorylation",1035,6,3.27,0.1415,"BP"
"11","GO:0040008","regulation of growth",143,3,0.45,0.1584,"BP"
"12","GO:0010015","root morphogenesis",157,2,0.5,0.1755,"BP"
"13","GO:0071555","cell wall organization",366,3,1.16,0.1838,"BP"
"14","GO:0015031","protein transport",592,4,1.87,0.2287,"BP"
"15","GO:0006355","regulation of DNA-templated transcriptio...",1412,7,4.46,0.2842,"BP"
"16","GO:0009409","response to cold",173,2,0.55,0.3857,"BP"
"17","GO:0035556","intracellular signal transduction",350,3,1.11,0.3913,"BP"
"18","GO:0006952","defense response",963,3,3.04,0.3963,"BP"
"19","GO:0007165","signal transduction",1148,9,3.62,0.4069,"BP"
"20","GO:0009651","response to salt stress",259,2,0.82,0.4491,"BP"
"21","GO:0009793","embryo development ending in seed dorman...",208,2,0.66,0.4661,"BP"
"22","GO:0005975","carbohydrate metabolic process",845,5,2.67,0.5586,"BP"
"23","GO:0006886","intracellular protein transport",297,2,0.94,0.5889,"BP"
"24","GO:0006508","proteolysis",690,2,2.18,0.7291,"BP"
"25","GO:0008152","metabolic process",8620,27,27.22,1,"BP"
"26","GO:0022414","reproductive process",978,3,3.09,1,"BP"
"27","GO:0010817","regulation of hormone levels",180,3,0.57,1,"BP"
"28","GO:0043170","macromolecule metabolic process",5354,15,16.91,1,"BP"
"29","GO:0071669","plant-type cell wall organization or bio...",202,2,0.64,1,"BP"
"30","GO:0009790","embryo development",236,2,0.75,1,"BP"
"31","GO:0009791","post-embryonic development",879,2,2.78,1,"BP"
"32","GO:0016192","vesicle-mediated transport",402,4,1.27,1,"BP"
"33","GO:0051641","cellular localization",823,4,2.6,1,"BP"
"34","GO:0009605","response to external stimulus",1001,6,3.16,1,"BP"
"35","GO:0009606","tropism",64,2,0.2,1,"BP"
"36","GO:0009607","response to biotic stimulus",765,5,2.42,1,"BP"
"37","GO:0032787","monocarboxylic acid metabolic process",396,2,1.25,1,"BP"
"38","GO:0006807","nitrogen compound metabolic process",5762,15,18.19,1,"BP"
"39","GO:0016197","endosomal transport",52,2,0.16,1,"BP"
"40","GO:0050794","regulation of cellular process",3000,17,9.47,1,"BP"
"41","GO:0044249","cellular biosynthetic process",4482,15,14.15,1,"BP"
"42","GO:0051649","establishment of localization in cell",514,3,1.62,1,"BP"
"43","GO:0032774","RNA biosynthetic process",1556,7,4.91,1,"BP"
"44","GO:0080090","regulation of primary metabolic process",1770,9,5.59,1,"BP"
"45","GO:0010646","regulation of cell communication",306,2,0.97,1,"BP"
"46","GO:1901700","response to oxygen-containing compound",979,4,3.09,1,"BP"
"47","GO:0044237","cellular metabolic process",6799,22,21.47,1,"BP"
"48","GO:0044238","primary metabolic process",6854,21,21.64,1,"BP"
"49","GO:0006793","phosphorus metabolic process",1467,8,4.63,1,"BP"
"50","GO:0090304","nucleic acid metabolic process",3011,8,9.51,1,"BP"
"51","GO:0006796","phosphate-containing compound metabolic ...",1438,8,4.54,1,"BP"
