TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000166"	"nucleotide binding"	NaN	6.8563906855422285	19.572068037245	0.9037637625385614	0.34304419	null
"GO:0005524"	"ATP binding"	NaN	6.696107012893181	13.531720449792392	0.892769545732765	0.72253413	166
"GO:0000287"	"magnesium ion binding"	NaN	5.807908279706416	1.7504660637586555	0.9353387895460619	0.06215663	null
"GO:0000976"	"transcription cis-regulatory region binding"	NaN	5.137970928415522	0.37429485653910227	0.9296028988733654	0.38815494	null
"GO:0003674"	"molecular_function"	NaN	7.564753920120596	100	1	-0	null
"GO:0003676"	"nucleic acid binding"	NaN	6.866269376056589	20.02236659265439	0.9196670815133927	0.19059334	null
"GO:0003700"	"DNA-binding transcription factor activity"	NaN	6.221101903037759	4.532603540907692	0.961932803635466	0.01034163	null
"GO:0000981"	"DNA-binding transcription factor activity, RNA polymerase II-specific"	NaN	5.530878153458473	0.924960029883873	0.9647604322007346	0.73808094	3700
"GO:0003723"	"RNA binding"	NaN	6.281472442045765	5.208567618365157	0.908675098427128	0.36410902	null
"GO:0003677"	"DNA binding"	NaN	6.637648108041512	11.827531128307996	0.8980206078677717	0.50546017	3723
"GO:0003729"	"mRNA binding"	NaN	5.034046601650425	0.29463794571910035	0.9274024510896883	0.11057958	null
"GO:0019843"	"rRNA binding"	NaN	5.629163837160828	1.1598689137107523	0.9173672016145898	0.54471954	3729
"GO:0003735"	"structural constituent of ribosome"	NaN	5.9203065056385995	2.2675249562595297	1	-0	null
"GO:0003746"	"translation elongation factor activity"	NaN	5.045307328253064	0.30237752450294525	0.9055441834061094	0.43363528	null
"GO:0003824"	"catalytic activity"	NaN	7.362887570729825	62.825165830214615	1	-0	null
"GO:0004103"	"choline kinase activity"	NaN	2.597695185925512	0.0010760765996546094	0.8982503599102295	0.25458558	null
"GO:0004161"	"dimethylallyltranstransferase activity"	NaN	3.3244882333076564	0.0057481560133448755	0.9222162853162743	0.16823469	null
"GO:0004337"	"geranyltranstransferase activity"	NaN	3.7737864449811935	0.016179288418604366	0.9177197452225184	0.67976188	4161
"GO:0004305"	"ethanolamine kinase activity"	NaN	2.6757783416740852	0.0012885676750294436	0.9079543350004979	0.0181751	null
"GO:0004497"	"monooxygenase activity"	NaN	5.65755490900434	1.2382263598775005	0.9203269776917933	0.40026143	null
"GO:0004553"	"hydrolase activity, hydrolyzing O-glycosyl compounds"	NaN	5.7639129344813105	1.5818244287586074	0.8661335281634497	0.04391505	null
"GO:0004559"	"alpha-mannosidase activity"	NaN	4.457564003967399	0.07812588537948073	0.8937979557373263	0.67878081	4553
"GO:0004601"	"peroxidase activity"	NaN	5.21890819783466	0.4509741680593005	0.9084553607524002	0.36163411	null
"GO:0140825"	"lactoperoxidase activity"	NaN	4.242640797817615	0.04762796757407983	0.9207026509138265	0.82393581	4601
"GO:0004634"	"phosphopyruvate hydratase activity"	NaN	4.1968391458331125	0.042860539600926506	0.9715374955209433	-0	null
"GO:0004675"	"transmembrane receptor protein serine/threonine kinase activity"	NaN	4.034307529596563	0.029479050341424125	0.8030313810460589	0.42334662	null
"GO:0004712"	"protein serine/threonine/tyrosine kinase activity"	NaN	3.9457639231111736	0.024041458207473235	0.8277317880554891	0.29495092	null
"GO:0004843"	"cysteine-type deubiquitinase activity"	NaN	4.968758381349889	0.2535127499004016	0.8104235788490167	0.43172779	null
"GO:0004180"	"carboxypeptidase activity"	NaN	5.196571321023255	0.4283656624883293	0.7966932100897073	0.53167721	4843
"GO:0004185"	"serine-type carboxypeptidase activity"	NaN	4.893190091826629	0.2130250273078274	0.8072928135020597	0.79581232	4843
"GO:0004190"	"aspartic-type endopeptidase activity"	NaN	5.019290804358013	0.28479525013795576	0.8086842598278877	0.50811896	4843
"GO:0008234"	"cysteine-type peptidase activity"	NaN	5.346245365640417	0.6046297337563105	0.7966450164563637	0.56957714	4843
"GO:0005085"	"guanyl-nucleotide exchange factor activity"	NaN	5.178407101369325	0.4108188033025689	1	-0	null
"GO:0005198"	"structural molecule activity"	NaN	6.059660337676418	3.1254031881943005	1	0	null
"GO:0005506"	"iron ion binding"	NaN	5.737364417535566	1.4880232402033986	0.9292279864376293	0.3354644	null
"GO:0008270"	"zinc ion binding"	NaN	6.141802083166779	3.776138036817838	0.9217412193326947	0.70305466	5506
"GO:0005515"	"protein binding"	NaN	6.27008718737355	5.073796515930947	0.9581233473681293	0.07181885	null
"GO:0008233"	"peptidase activity"	NaN	6.199625198471322	4.313909360678647	0.7744409094328049	0.37057375	null
"GO:0004672"	"protein kinase activity"	NaN	6.132263853101252	3.694108308989484	0.7476629556810144	0.61128029	8233
"GO:0004674"	"protein serine/threonine kinase activity"	NaN	5.668063337926538	1.268552650275868	0.7673404451601833	0.75385407	8233
"GO:0004713"	"protein tyrosine kinase activity"	NaN	4.9320930828571	0.2329882914148375	0.7975641638584533	0.6173729	8233
"GO:0016301"	"kinase activity"	NaN	6.361651544547151	6.264659159956308	0.8461683999953485	0.74740627	8233
"GO:0008474"	"palmitoyl-(protein) hydrolase activity"	NaN	3.3473300153169503	0.006058719892738864	0.8297471266244772	0.38603758	null
"GO:0015297"	"antiporter activity"	NaN	5.173594138754633	0.40629110885035136	0.9750513259795176	0.36896596	null
"GO:0140359"	"ABC-type transporter activity"	NaN	5.54886092751801	0.9640638362419548	0.9596740069963748	0.67677295	15297
"GO:0016491"	"oxidoreductase activity"	NaN	6.633749444088839	11.721830439531795	0.9499144135439319	0.06281597	null
"GO:0016705"	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	NaN	5.711373561400744	1.4015829604387384	0.9194724459685942	0.43709935	null
"GO:0016706"	"2-oxoglutarate-dependent dioxygenase activity"	NaN	4.555094448578319	0.09779765531898943	0.9286518116339036	0.31554966	null
"GO:0016740"	"transferase activity"	NaN	6.891430459754787	21.216634542374862	0.9455160259223242	0.09355129	null
"GO:0016747"	"acyltransferase activity, transferring groups other than amino-acyl groups"	NaN	5.903960417437388	2.1837653331380595	0.8883410511824384	0.32332761	null
"GO:0050291"	"sphingosine N-acyltransferase activity"	NaN	3.911370707116138	0.022210765865782356	0.9208902277668487	0.53265712	16747
"GO:0016757"	"glycosyltransferase activity"	NaN	5.944251645010766	2.3960575386602994	0.8945258846438058	0.28780421	null
"GO:0016765"	"transferase activity, transferring alkyl or aryl (other than methyl) groups"	NaN	5.498953935791011	0.8594065331307367	0.9043157336171705	0.15252738	null
"GO:0016787"	"hydrolase activity"	NaN	6.893959728591402	21.340557702986732	0.945469754176669	0.11166207	null
"GO:0016798"	"hydrolase activity, acting on glycosyl bonds"	NaN	5.865072571585559	1.9967241504061959	0.8731468086469703	0.30146518	null
"GO:0016829"	"lyase activity"	NaN	6.106446569406796	3.4809062057855114	0.9570746681489516	0.04880667	null
"GO:0016853"	"isomerase activity"	NaN	5.947929984867681	2.416437612184391	0.9588364258839964	0.03010913	null
"GO:0016872"	"intramolecular lyase activity"	NaN	4.190723787108166	0.04226120579858723	0.9600240982171371	0.02226149	null
"GO:0003755"	"peptidyl-prolyl cis-trans isomerase activity"	NaN	5.123822251624299	0.3622972835140924	0.8456412136486648	0.54265064	16872
"GO:0016887"	"ATP hydrolysis activity"	NaN	6.082174775484666	3.291701972876113	0.8528812794475638	0.33161512	null
"GO:0020037"	"heme binding"	NaN	5.731088918134624	1.466676059861896	0.944682625273341	0.06079712	null
"GO:0030246"	"carbohydrate binding"	NaN	5.472823708573928	0.8092232241630467	0.9665948478769463	-0	null
"GO:0030247"	"polysaccharide binding"	NaN	4.7106250150607964	0.139914476156104	0.9461446456658997	0.04317173	null
"GO:0001872"	"(1->3)-beta-D-glucan binding"	NaN	2.60422605308447	0.001092422066991135	0.9583557050083739	0.53098016	30247
"GO:0035064"	"methylated histone binding"	NaN	3.7177536932107156	0.01422055658277737	0.9387589184805244	0.03595384	null
"GO:0035091"	"phosphatidylinositol binding"	NaN	5.020845863865772	0.2858168418464886	0.9563112068642116	0.04606073	null
"GO:0005504"	"fatty acid binding"	NaN	3.768268016451548	0.015974970076897795	0.9329042425048074	0.64743728	35091
"GO:0031418"	"L-ascorbic acid binding"	NaN	4.4176875412097525	0.07127168607636428	0.9052809479881667	0.7056286	35091
"GO:0042802"	"identical protein binding"	NaN	5.0978921443614285	0.34129880647576905	0.9236990158562668	0.455885	null
"GO:0046983"	"protein dimerization activity"	NaN	5.669160618039776	1.2717618103629391	0.9154387592635925	0.56343363	42802
"GO:0042803"	"protein homodimerization activity"	NaN	4.755112266395071	0.1550067909968294	0.9280366170707499	0.46582955	null
"GO:0042910"	"xenobiotic transmembrane transporter activity"	NaN	4.803334184719093	0.1732101931206069	0.9814126639331424	-0	null
"GO:0043130"	"ubiquitin binding"	NaN	4.640014095433917	0.11891872336233673	0.9293953139376746	0.36593675	null
"GO:0043565"	"sequence-specific DNA binding"	NaN	5.779551760951278	1.6398235953577127	0.9180694706796453	0.25887051	null
"GO:0043621"	"protein self-association"	NaN	3.7726883546821415	0.01613842475026305	0.9382682831584008	0.32175479	null
"GO:0046872"	"metal ion binding"	NaN	6.82843373389826	18.351846209638683	0.9128785736752859	0.47883926	null
"GO:0047998"	"hyoscyamine (6S)-dioxygenase activity"	NaN	1	2.451820100478857E-05	0.953187434760363	0.45437612	null
"GO:0051213"	"dioxygenase activity"	NaN	5.365270783345036	0.6317060003992653	0.924717930545378	0.03932778	null
"GO:0051536"	"iron-sulfur cluster binding"	NaN	5.88624135728082	2.0964614678491196	0.9626938923833803	0.05663267	null
"GO:0052689"	"carboxylic ester hydrolase activity"	NaN	5.371481630906706	0.6408049772165979	0.8368494539600545	0.26421017	null
"GO:0004445"	"inositol-polyphosphate 5-phosphatase activity"	NaN	3.7646243978509815	0.015841482093649502	0.8580750147517822	0.61289999	52689
"GO:0004721"	"phosphoprotein phosphatase activity"	NaN	5.341986193001825	0.5987290200478247	0.753581911195955	0.8477066	52689
"GO:0004722"	"protein serine/threonine phosphatase activity"	NaN	5.0080718847404295	0.27753241415142615	0.7652201661515505	0.78411671	52689
"GO:0016791"	"phosphatase activity"	NaN	5.670052790398394	1.2743770851367833	0.8094769332853021	0.60539632	52689
"GO:0017018"	"myosin phosphatase activity"	NaN	4.766003644178281	0.15894332438037603	0.7745374303332679	0.82512723	52689
"GO:0080030"	"methyl indole-3-acetate esterase activity"	NaN	2.846955325019824	0.0019124196783735085	0.8807577520926599	0.46157987	null
"GO:0080031"	"methyl salicylate esterase activity"	NaN	2.7737864449811935	0.0016154770217599577	0.8818110021236967	0.35430997	null
"GO:0080032"	"methyl jasmonate esterase activity"	NaN	2.841359470454855	0.0018879014773687196	0.8808389492085803	0.45802515	null
"GO:0106310"	"protein serine kinase activity"	NaN	4.577790418221759	0.10304455033401418	0.8095368647480641	0.41767171	null
