"","x"
"1","N0.HOG0016137"
"2","N0.HOG0008105"
"3","N0.HOG0008090"
"4","N0.HOG0008086"
"5","N0.HOG0008107"
"6","N0.HOG0004539"
"7","N0.HOG0008087"
"8","N0.HOG0000340"
"9","N0.HOG0011602"
"10","N0.HOG0004531"
"11","N0.HOG0008098"
"12","N0.HOG0011614"
"13","N0.HOG0016741"
"14","N0.HOG0008855"
"15","N0.HOG0004009"
"16","N0.HOG0011648"
"17","N0.HOG0011596"
"18","N0.HOG0003848"
"19","N0.HOG0006318"
"20","N0.HOG0001264"
"21","N0.HOG0011628"
"22","N0.HOG0011588"
"23","N0.HOG0004540"
"24","N0.HOG0008840"
"25","N0.HOG0016187"
"26","N0.HOG0000388"
"27","N0.HOG0008806"
"28","N0.HOG0008876"
"29","N0.HOG0008762"
"30","N0.HOG0016754"
"31","N0.HOG0008669"
"32","N0.HOG0012484"
"33","N0.HOG0006149"
"34","N0.HOG0016517"
"35","N0.HOG0012631"
"36","N0.HOG0008848"
"37","N0.HOG0012237"
"38","N0.HOG0008831"
"39","N0.HOG0008842"
"40","N0.HOG0016489"
"41","N0.HOG0012735"
"42","N0.HOG0016514"
"43","N0.HOG0012286"
"44","N0.HOG0008599"
"45","N0.HOG0004010"
"46","N0.HOG0008570"
"47","N0.HOG0000730"
"48","N0.HOG0008418"
"49","N0.HOG0006503"
"50","N0.HOG0006546"
"51","N0.HOG0008491"
"52","N0.HOG0012405"
"53","N0.HOG0005395"
"54","N0.HOG0004652"
"55","N0.HOG0002805"
"56","N0.HOG0008893"
"57","N0.HOG0002921"
"58","N0.HOG0006535"
"59","N0.HOG0006538"
"60","N0.HOG0008869"
"61","N0.HOG0012225"
"62","N0.HOG0005378"
"63","N0.HOG0008471"
"64","N0.HOG0008578"
"65","N0.HOG0008469"
"66","N0.HOG0005148"
"67","N0.HOG0006228"
"68","N0.HOG0011175"
"69","N0.HOG0005402"
"70","N0.HOG0008655"
"71","N0.HOG0003979"
"72","N0.HOG0008468"
"73","N0.HOG0006527"
"74","N0.HOG0012922"
"75","N0.HOG0005473"
"76","N0.HOG0008486"
"77","N0.HOG0012693"
"78","N0.HOG0004709"
"79","N0.HOG0002334"
"80","N0.HOG0012446"
"81","N0.HOG0008790"
"82","N0.HOG0008722"
"83","N0.HOG0006627"
"84","N0.HOG0002858"
"85","N0.HOG0008617"
"86","N0.HOG0008646"
"87","N0.HOG0003398"
"88","N0.HOG0012572"
"89","N0.HOG0003381"
"90","N0.HOG0008756"
"91","N0.HOG0004030"
"92","N0.HOG0001501"
"93","N0.HOG0008713"
"94","N0.HOG0008744"
"95","N0.HOG0005217"
"96","N0.HOG0001302"
"97","N0.HOG0012334"
"98","N0.HOG0007319"
"99","N0.HOG0012557"
"100","N0.HOG0008738"
"101","N0.HOG0016908"
"102","N0.HOG0001067"
"103","N0.HOG0006657"
"104","N0.HOG0008735"
"105","N0.HOG0016709"
"106","N0.HOG0008427"
"107","N0.HOG0008850"
"108","N0.HOG0008454"
"109","N0.HOG0008514"
