"","x"
"1","N0.HOG0016137"
"2","N0.HOG0011620"
"3","N0.HOG0011615"
"4","N0.HOG0011601"
"5","singleton"
"6","N0.HOG0003291"
"7","N0.HOG0008105"
"8","N0.HOG0011592"
"9","N0.HOG0011633"
"10","N0.HOG0008090"
"11","N0.HOG0004532"
"12","N0.HOG0019324"
"13","N0.HOG0008086"
"14","N0.HOG0005079"
"15","N0.HOG0011580"
"16","N0.HOG0008107"
"17","N0.HOG0019298"
"18","N0.HOG0004539"
"19","N0.HOG0011621"
"20","N0.HOG0011598"
"21","N0.HOG0006526"
"22","N0.HOG0011591"
"23","N0.HOG0011632"
"24","N0.HOG0011575"
"25","N0.HOG0008087"
"26","N0.HOG0019332"
"27","N0.HOG0000340"
"28","N0.HOG0011602"
"29","N0.HOG0011639"
"30","N0.HOG0008085"
"31","N0.HOG0008102"
"32","N0.HOG0011590"
"33","N0.HOG0011635"
"34","N0.HOG0004531"
"35","N0.HOG0008098"
"36","N0.HOG0011614"
"37","N0.HOG0019294"
"38","N0.HOG0011610"
"39","N0.HOG0006320"
"40","N0.HOG0015655"
"41","N0.HOG0001365"
"42","N0.HOG0016741"
"43","N0.HOG0011327"
"44","N0.HOG0008855"
"45","N0.HOG0004009"
"46","N0.HOG0011634"
"47","N0.HOG0011648"
"48","N0.HOG0011625"
"49","N0.HOG0006323"
"50","N0.HOG0016162"
"51","N0.HOG0019300"
"52","N0.HOG0004330"
"53","N0.HOG0006530"
"54","N0.HOG0004530"
"55","N0.HOG0011577"
"56","N0.HOG0016475"
"57","N0.HOG0011596"
"58","N0.HOG0001735"
"59","N0.HOG0006518"
"60","N0.HOG0003848"
"61","N0.HOG0011616"
"62","N0.HOG0019296"
"63","N0.HOG0006318"
"64","N0.HOG0011629"
"65","N0.HOG0019335"
"66","N0.HOG0016850"
"67","N0.HOG0001264"
"68","N0.HOG0011574"
"69","N0.HOG0011628"
"70","N0.HOG0011640"
"71","N0.HOG0016132"
"72","N0.HOG0011588"
"73","N0.HOG0016843"
"74","N0.HOG0011608"
"75","N0.HOG0019304"
"76","N0.HOG0004540"
"77","N0.HOG0019316"
"78","N0.HOG0002201"
"79","N0.HOG0015468"
"80","N0.HOG0015469"
"81","N0.HOG0007358"
"82","N0.HOG0008840"
"83","N0.HOG0016652"
"84","N0.HOG0006575"
"85","N0.HOG0002747"
"86","N0.HOG0001687"
"87","N0.HOG0016187"
"88","N0.HOG0019565"
"89","N0.HOG0001796"
"90","N0.HOG0000388"
"91","N0.HOG0002611"
"92","N0.HOG0019553"
"93","N0.HOG0003358"
"94","N0.HOG0000073"
"95","N0.HOG0016924"
"96","N0.HOG0016744"
"97","N0.HOG0008806"
"98","N0.HOG0007527"
"99","N0.HOG0008876"
"100","N0.HOG0008762"
"101","N0.HOG0008704"
"102","N0.HOG0006568"
"103","N0.HOG0012605"
"104","N0.HOG0008539"
"105","N0.HOG0019532"
"106","N0.HOG0012459"
"107","N0.HOG0019727"
"108","N0.HOG0016667"
"109","N0.HOG0016810"
"110","N0.HOG0012589"
"111","N0.HOG0012510"
"112","N0.HOG0016754"
"113","N0.HOG0006592"
"114","N0.HOG0012186"
"115","N0.HOG0008669"
