"","GOID","GOTERM","ONTOLOGY","HOGs_with_GO_COUNT","HOGs_with_GO","TOTAL_COUNT.all_GO_ID","TOTAL_COUNT.Freq","Ta_COUNT.Var1","Ta_COUNT.Freq","Os_COUNT.Var1","Os_COUNT.Freq","Ms_COUNT.Var1","Ms_COUNT.Freq","Sb_COUNT.Var1","Sb_COUNT.Freq","Zm_COUNT.Var1","Zm_COUNT.Freq","DEFINITION"
"1","GO:0006629","lipid metabolic process","BP",2,"N0.HOG0003819 N0.HOG0009714","GO:0006629",10,"GO:0006629",2,"GO:0006629",2,"GO:0006629",3,"GO:0006629",1,"GO:0006629",2,"The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids."
"2","GO:0006646","phosphatidylethanolamine biosynthetic process","BP",1,"N0.HOG0009714","GO:0006646",9,"GO:0006646",3,"GO:0006646",1,"GO:0006646",2,"GO:0006646",1,"GO:0006646",2,"The chemical reactions and pathways resulting in the formation of phosphatidylethanolamine, any of a class of glycerophospholipids in which a phosphatidyl group is esterified to the hydroxyl group of ethanolamine."
"3","GO:0006656","phosphatidylcholine biosynthetic process","BP",1,"N0.HOG0009714","GO:0006656",9,"GO:0006656",3,"GO:0006656",1,"GO:0006656",2,"GO:0006656",1,"GO:0006656",2,"The chemical reactions and pathways resulting in the formation of phosphatidylcholines, any of a class of glycerophospholipids in which the phosphatidyl group is esterified to the hydroxyl group of choline."
"4","GO:0006657","CDP-choline pathway","BP",1,"N0.HOG0009714","GO:0006657",9,"GO:0006657",3,"GO:0006657",1,"GO:0006657",2,"GO:0006657",1,"GO:0006657",2,"The phosphatidylcholine biosynthetic process that begins with the phosphorylation of choline and ends with the combination of CDP-choline with diacylglycerol to form phosphatidylcholine."
"5","GO:0007517","muscle organ development","BP",1,"N0.HOG0009714","GO:0007517",3,"GO:0007517",1,"GO:0007517",1,"GO:0007517",1,"GO:0007517",0,"GO:0007517",0,"The process whose specific outcome is the progression of the muscle over time, from its formation to the mature structure. The muscle is an organ consisting of a tissue made up of various elongated cells that are specialized to contract and thus to produce movement and mechanical work."
"6","GO:0008654","phospholipid biosynthetic process","BP",1,"N0.HOG0009714","GO:0008654",3,"GO:0008654",1,"GO:0008654",1,"GO:0008654",1,"GO:0008654",0,"GO:0008654",0,"The chemical reactions and pathways resulting in the formation of a phospholipid, a lipid containing phosphoric acid as a mono- or diester."
"7","GO:0016310","phosphorylation","BP",1,"N0.HOG0009714","GO:0016310",9,"GO:0016310",3,"GO:0016310",1,"GO:0016310",2,"GO:0016310",1,"GO:0016310",2,"The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."
"8","GO:0046474","glycerophospholipid biosynthetic process","BP",1,"N0.HOG0009714","GO:0046474",3,"GO:0046474",1,"GO:0046474",1,"GO:0046474",1,"GO:0046474",0,"GO:0046474",0,"The chemical reactions and pathways resulting in the formation of glycerophospholipids, any derivative of glycerophosphate that contains at least one O-acyl, O-alkyl, or O-alkenyl group attached to the glycerol residue."
"9","GO:0006694","steroid biosynthetic process","BP",1,"N0.HOG0003819","GO:0006694",7,"GO:0006694",1,"GO:0006694",1,"GO:0006694",2,"GO:0006694",1,"GO:0006694",2,"The chemical reactions and pathways resulting in the formation of steroids, compounds with a 1,2,cyclopentanoperhydrophenanthrene nucleus; includes de novo formation and steroid interconversion by modification."
"10","GO:0006695","cholesterol biosynthetic process","BP",1,"N0.HOG0003819","GO:0006695",7,"GO:0006695",1,"GO:0006695",1,"GO:0006695",2,"GO:0006695",1,"GO:0006695",2,"The chemical reactions and pathways resulting in the formation of cholesterol, cholest-5-en-3 beta-ol, the principal sterol of vertebrates and the precursor of many steroids, including bile acids and steroid hormones."
"11","GO:0008202","steroid metabolic process","BP",1,"N0.HOG0003819","GO:0008202",7,"GO:0008202",1,"GO:0008202",1,"GO:0008202",2,"GO:0008202",1,"GO:0008202",2,"The chemical reactions and pathways involving steroids, compounds with a 1,2,cyclopentanoperhydrophenanthrene nucleus."
"12","GO:0008203","cholesterol metabolic process","BP",1,"N0.HOG0003819","GO:0008203",7,"GO:0008203",1,"GO:0008203",1,"GO:0008203",2,"GO:0008203",1,"GO:0008203",2,"The chemical reactions and pathways involving cholesterol, cholest-5-en-3 beta-ol, the principal sterol of vertebrates and the precursor of many steroids, including bile acids and steroid hormones. It is a component of the plasma membrane lipid bilayer and of plasma lipoproteins and can be found in all animal tissues."
"13","GO:0008299","isoprenoid biosynthetic process","BP",1,"N0.HOG0003819","GO:0008299",7,"GO:0008299",1,"GO:0008299",1,"GO:0008299",2,"GO:0008299",1,"GO:0008299",2,"The chemical reactions and pathways resulting in the formation of an isoprenoid compound, isoprene (2-methylbuta-1,3-diene) or compounds containing or derived from linked isoprene (3-methyl-2-butenylene) residues."
"14","GO:0016126","sterol biosynthetic process","BP",1,"N0.HOG0003819","GO:0016126",7,"GO:0016126",1,"GO:0016126",1,"GO:0016126",2,"GO:0016126",1,"GO:0016126",2,"The chemical reactions and pathways resulting in the formation of sterols, steroids with one or more hydroxyl groups and a hydrocarbon side-chain in the molecule."
