"","x"
"1","N0.HOG0008105"
"2","N0.HOG0011633"
"3","N0.HOG0001365"
"4","N0.HOG0011596"
"5","N0.HOG0015468"
"6","N0.HOG0003358"
"7","N0.HOG0016924"
"8","N0.HOG0012484"
"9","N0.HOG0001649"
"10","N0.HOG0016564"
"11","N0.HOG0016563"
"12","N0.HOG0012648"
"13","N0.HOG0008741"
"14","N0.HOG0012405"
"15","N0.HOG0004665"
"16","N0.HOG0008722"
"17","N0.HOG0002858"
"18","N0.HOG0003961"
"19","N0.HOG0004030"
"20","N0.HOG0002899"
"21","N0.HOG0000897"
"22","N0.HOG0002064"
"23","N0.HOG0003467"
"24","N0.HOG0008527"
"25","N0.HOG0008749"
"26","N0.HOG0000904"
"27","N0.HOG0006619"
"28","N0.HOG0008684"
"29","N0.HOG0004683"
"30","N0.HOG0016619"
"31","N0.HOG0008707"
"32","N0.HOG0008634"
"33","N0.HOG0005486"
"34","N0.HOG0005416"
"35","N0.HOG0004019"
"36","N0.HOG0012845"
"37","N0.HOG0012538"
"38","N0.HOG0002445"
"39","N0.HOG0003377"
"40","N0.HOG0008425"
"41","N0.HOG0001564"
"42","N0.HOG0005397"
"43","N0.HOG0012491"
"44","N0.HOG0016700"
"45","N0.HOG0012409"
"46","N0.HOG0008444"
"47","N0.HOG0008557"
"48","N0.HOG0008823"
"49","N0.HOG0016731"
"50","N0.HOG0008565"
"51","N0.HOG0019713"
"52","N0.HOG0002024"
"53","N0.HOG0003414"
"54","N0.HOG0008877"
"55","N0.HOG0016193"
"56","N0.HOG0005386"
"57","N0.HOG0012821"
"58","N0.HOG0002040"
"59","N0.HOG0019573"
"60","N0.HOG0004698"
"61","N0.HOG0006115"
"62","N0.HOG0006344"
"63","N0.HOG0008579"
"64","N0.HOG0011050"
"65","N0.HOG0008467"
"66","N0.HOG0005423"
"67","N0.HOG0001568"
"68","N0.HOG0002856"
"69","N0.HOG0002408"
"70","N0.HOG0019510"
"71","N0.HOG0012822"
"72","N0.HOG0001797"
"73","N0.HOG0012468"
"74","N0.HOG0008783"
"75","N0.HOG0016539"
"76","N0.HOG0003406"
"77","N0.HOG0000290"
"78","N0.HOG0008541"
"79","N0.HOG0008777"
"80","N0.HOG0012965"
"81","N0.HOG0008645"
"82","N0.HOG0002859"
"83","N0.HOG0012493"
"84","N0.HOG0002884"
"85","N0.HOG0016873"
"86","N0.HOG0019578"
"87","N0.HOG0002435"
"88","N0.HOG0012540"
"89","N0.HOG0012752"
"90","N0.HOG0016774"
"91","N0.HOG0012729"
"92","N0.HOG0012823"
"93","N0.HOG0012423"
"94","N0.HOG0008711"
"95","N0.HOG0002926"
"96","N0.HOG0012204"
"97","N0.HOG0008509"
"98","N0.HOG0008561"
"99","N0.HOG0016550"
"100","N0.HOG0008476"
"101","N0.HOG0003470"
"102","N0.HOG0008797"
"103","N0.HOG0012348"
"104","N0.HOG0008559"
"105","N0.HOG0003378"
"106","N0.HOG0012460"
"107","N0.HOG0008751"
"108","N0.HOG0007316"
"109","N0.HOG0016640"
"110","N0.HOG0008818"
"111","N0.HOG0008607"
"112","N0.HOG0006588"
"113","N0.HOG0012288"
"114","N0.HOG0008562"
"115","N0.HOG0000900"
"116","N0.HOG0008647"
"117","N0.HOG0006591"
"118","N0.HOG0016566"
"119","N0.HOG0008589"
"120","N0.HOG0002892"
"121","N0.HOG0012728"
"122","N0.HOG0008450"
"123","N0.HOG0008571"
"124","N0.HOG0004371"
"125","N0.HOG0012844"
"126","N0.HOG0008436"
"127","N0.HOG0016713"
"128","N0.HOG0012220"
"129","N0.HOG0008719"
"130","N0.HOG0019687"
"131","N0.HOG0002896"
"132","N0.HOG0016821"
"133","N0.HOG0012640"
"134","N0.HOG0012827"
"135","N0.HOG0016573"
"136","N0.HOG0006621"
"137","N0.HOG0002028"
"138","N0.HOG0006620"
"139","N0.HOG0004705"
"140","N0.HOG0004695"
"141","N0.HOG0000237"
"142","N0.HOG0006719"
"143","N0.HOG0003441"
"144","N0.HOG0017123"
"145","N0.HOG0006733"
"146","N0.HOG0016742"
"147","N0.HOG0005515"
"148","N0.HOG0013181"
"149","N0.HOG0006730"
"150","N0.HOG0002882"
"151","N0.HOG0017118"
"152","N0.HOG0019830"
"153","N0.HOG0019647"
"154","N0.HOG0006205"
"155","N0.HOG0003296"
"156","N0.HOG0001790"
"157","N0.HOG0002085"
"158","N0.HOG0016880"
"159","N0.HOG0019887"
"160","N0.HOG0013185"
"161","N0.HOG0017093"
"162","N0.HOG0019902"
"163","N0.HOG0012190"
"164","N0.HOG0017105"
"165","N0.HOG0006717"
"166","N0.HOG0013200"
"167","N0.HOG0006710"
"168","N0.HOG0013210"
"169","N0.HOG0004008"
"170","N0.HOG0006722"
"171","N0.HOG0006533"
"172","N0.HOG0009095"
"173","N0.HOG0013883"
"174","N0.HOG0018066"
"175","N0.HOG0006305"
"176","N0.HOG0000979"
"177","N0.HOG0002135"
"178","N0.HOG0009662"
"179","N0.HOG0014680"
"180","N0.HOG0004200"
"181","N0.HOG0018017"
"182","N0.HOG0005224"
"183","N0.HOG0006109"
"184","N0.HOG0014604"
"185","N0.HOG0009687"
"186","N0.HOG0002410"
"187","N0.HOG0017885"
"188","N0.HOG0003369"
"189","N0.HOG0009740"
"190","N0.HOG0002428"
"191","N0.HOG0000149"
"192","N0.HOG0014405"
"193","N0.HOG0009718"
"194","N0.HOG0007577"
"195","N0.HOG0014590"
"196","N0.HOG0017926"
"197","N0.HOG0000154"
"198","N0.HOG0004904"
"199","N0.HOG0004916"
"200","N0.HOG0009754"
"201","N0.HOG0005734"
"202","N0.HOG0014490"
"203","N0.HOG0014293"
"204","N0.HOG0007022"
"205","N0.HOG0009898"
"206","N0.HOG0020285"
"207","N0.HOG0014749"
"208","N0.HOG0018012"
"209","N0.HOG0009661"
"210","N0.HOG0000982"
"211","N0.HOG0020363"
"212","N0.HOG0009782"
"213","N0.HOG0007696"
"214","N0.HOG0001852"
"215","N0.HOG0014586"
"216","N0.HOG0014260"
"217","N0.HOG0014455"
