"","x"
"1","Misin01G013600"
"2","Misin16G010800"
"3","Os03g0840900"
"4","SORBI_3001G018500"
"5","TraesCS4A02G347700"
"6","Zm00001eb063990"
"7","Zm00001eb211000"
"8","Misin01G103700"
"9","Misin02G091500"
"10","Os03g0717000"
"11","SORBI_3001G113800"
"12","TraesCS4B02G049800"
"13","TraesCS4D02G050200"
"14","Zm00001eb055210"
"15","Zm00001eb216120"
"16","Misin01G108100"
"17","Misin02G094900"
"18","Os03g0711800"
"19","SORBI_3001G117200"
"20","TraesCS4B02G046600"
"21","TraesCS4D02G045500"
"22","Zm00001eb054830"
"23","Zm00001eb216330"
"24","Zm00001eb216350"
"25","Misin01G186900"
"26","Misin02G167900"
"27","Os10g0500700"
"28","SORBI_3001G203900"
"29","TraesCS1A02G168900"
"30","Zm00001eb044380"
"31","Zm00001eb091680"
"32","Zm00001eb091690"
"33","Zm00001eb103590"
"34","Zm00001eb105530"
"35","Zm00001eb220880"
"36","Zm00001eb240990"
"37","Zm00001eb360150"
"38","Misin01G244500"
"39","Misin15G036300"
"40","Os10g0140200"
"41","SORBI_3001G268700"
"42","SORBI_3001G269000"
"43","SORBI_3001G269100"
"44","TraesCS1A02G087500"
"45","TraesCS1B02G106400"
"46","TraesCS1D02G088800"
"47","Zm00001eb026300"
"48","Zm00001eb026330"
"49","Misin01G284700"
"50","Misin02G274100"
"51","Os02g0326600"
"52","SORBI_3001G301200"
"53","TraesCS5A02G361300"
"54","TraesCS5B02G363900"
"55","TraesCS5D02G370200"
"56","Zm00001eb023450"
"57","Zm00001eb391380"
"58","Misin01G407100"
"59","Misin02G401500"
"60","Os03g0264000"
"61","SORBI_3001G427900"
"62","TraesCS4B02G214800"
"63","TraesCS4D02G215400"
"64","Zm00001eb011640"
"65","Zm00001eb398050"
"66","Misin01G494500"
"67","Misin02G505100"
"68","Os03g0132800"
"69","SORBI_3001G516100"
"70","TraesCS4D02G325200"
"71","TraesCS5A02G500000"
"72","Zm00001eb002610"
"73","Zm00001eb402560"
"74","Misin02G003500"
"75","Os03g0832500"
"76","SORBI_3001G025900"
"77","TraesCS5B02G510100"
"78","Zm00001eb063450"
"79","Zm00001eb396560"
"80","Misin03G022400"
"81","Misin04G033200"
"82","Os07g0129700"
"83","SORBI_3002G023900"
"84","TraesCS2A02G267400"
"85","TraesCS2B02G268200"
"86","TraesCS2D02G256400"
"87","Zm00001eb117820"
"88","Zm00001eb299420"
"89","Misin03G155400"
"90","Misin04G174100"
"91","Os09g0375000"
"92","SORBI_3002G186900"
"93","TraesCS5A02G188100"
"94","TraesCS5B02G195500"
"95","TraesCS5D02G202900"
"96","Zm00001eb098760"
"97","Zm00001eb311450"
"98","Misin03G179400"
"99","Misin04G198800"
"100","Os09g0438400"
"101","SORBI_3002G214400"
"102","TraesCS5A02G212300"
"103","TraesCS5B02G211400"
"104","TraesCS5D02G219700"
"105","Zm00001eb100060"
"106","Zm00001eb313980"
"107","Misin03G183400"
"108","Os09g0443800"
"109","SORBI_3002G218300"
"110","TraesCS5A02G208100"
"111","TraesCS5B02G206100"
"112","TraesCS5D02G214100"
"113","Zm00001eb100300"
"114","Zm00001eb314290"
"115","Zm00001eb365830"
"116","Misin03G351100"
"117","Misin04G389800"
"118","Os07g0671400"
"119","SORBI_3002G412400"
"120","TraesCS2A02G114900"
"121","TraesCS2B02G134100"
"122","TraesCS2D02G115700"
"123","Zm00001eb111160"
"124","Zm00001eb330340"
"125","Misin05G144400"
"126","Misin05G144500"
"127","Misin06G132000"
"128","Os01g0319000"
"129","SORBI_3003G150600"
"130","SORBI_3003G150700"
"131","TraesCS2A02G377100"
"132","TraesCS2B02G394300"
"133","TraesCS2D02G373700"
"134","Zm00001eb130750"
"135","Zm00001eb340500"
"136","Misin06G132100"
"137","Misin05G202400"
"138","MisinT283500"
"139","Os01g0628700"
"140","SORBI_3003G228900"
"141","TraesCS3A02G227800"
"142","Zm00001eb159250"
"143","Zm00001eb358860"
"144","Misin05G209900"
"145","Misin06G226100"
"146","Os01g0689800"
"147","SORBI_3003G262500"
"148","TraesCS3A02G262400"
"149","TraesCS3D02G262400"
"150","Zm00001eb156260"
"151","Zm00001eb360610"
"152","Misin05G288900"
"153","Misin18G086200"
"154","Os01g0777000"
"155","SORBI_3003G314700"
"156","TraesCS3A02G319900"
"157","TraesCS3D02G311800"
"158","Zm00001eb151630"
"159","Zm00001eb369950"
"160","Misin05G347200"
"161","Misin06G341700"
"162","Os01g0874300"
"163","SORBI_3003G373000"
"164","TraesCS3A02G384400"
"165","TraesCS3B02G416400"
"166","TraesCS3D02G377300"
"167","Zm00001eb146230"
"168","Zm00001eb366540"
"169","Misin06G246500"
"170","MisinT259600"
"171","Os01g0703400"
"172","SORBI_3003G270500"
"173","TraesCS3B02G286300"
"174","Zm00001eb155590"
"175","Zm00001eb361070"
"176","Misin06G363700"
"177","MisinT363300"
"178","Os01g0911800"
"179","SORBI_3003G398400"
"180","TraesCS3A02G417600"
"181","TraesCS3B02G452800"
"182","TraesCS3D02G413200"
"183","Zm00001eb143670"
"184","Zm00001eb365010"
"185","Misin07G188800"
"186","Misin13G016500"
"187","Os08g0119700"
"188","SORBI_3007G023100"
"189","TraesCS7A02G314300"
"190","TraesCS7B02G215100"
"191","TraesCS7D02G311500"
"192","Zm00001eb173520"
"193","Zm00001eb261240"
"194","Misin07G194900"
"195","Misin13G010600"
"196","Os08g0115800"
"197","SORBI_3007G018100"
"198","TraesCS7A02G317100"
"199","TraesCS7D02G314000"
"200","Zm00001eb173840"
"201","Zm00001eb260850"
"202","Misin07G208600"
"203","Misin13G001800"
"204","Os08g0109000"
"205","SORBI_3007G008800"
"206","TraesCS7A02G322800"
"207","TraesCS7D02G319300"
"208","Zm00001eb174210"
"209","Zm00001eb260360"
"210","Misin07G280400"
"211","Misin13G139300"
"212","Os08g0478500"
"213","SORBI_3007G159900"
"214","TraesCS7A02G282200"
"215","TraesCS7B02G179000"
"216","TraesCS7D02G280800"
"217","Zm00001eb038400"
"218","Zm00001eb180290"
"219","Misin07G349100"
"220","Misin08G144000"
"221","Os02g0516800"
"222","SORBI_3004G158300"
"223","TraesCS5A02G443100"
"224","TraesCS5B02G447700"
"225","TraesCS5D02G450500"
"226","Zm00001eb180800"
"227","Zm00001eb242030"
"228","Misin07G380900"
"229","Os02g0567200"
"230","SORBI_3004G186300"
"231","TraesCS6D02G184300"
"232","Zm00001eb182690"
"233","Zm00001eb244550"
"234","Misin07G436300"
"235","Os02g0667300"
"236","SORBI_3004G287700"
"237","TraesCS6A02G252100"
"238","TraesCS6B02G272200"
"239","TraesCS6D02G233600"
"240","Zm00001eb186950"
"241","Zm00001eb250040"
"242","Misin07G511400"
"243","Misin08G289000"
"244","Os02g0778500"
"245","SORBI_3004G318200"
"246","TraesCS6D02G317800"
"247","Zm00001eb193130"
"248","Zm00001eb256920"
"249","Misin11G228700"
"250","Misin12G242500"
"251","Os04g0636900"
"252","SORBI_3006G233300"
"253","TraesCS2A02G526400"
"254","TraesCS2B02G556700"
"255","TraesCS2D02G529100"
"256","Zm00001eb431740"
"257","Zm00001eb069130"
"258","Misin11G232300"
"259","Misin11G232600"
"260","Misin12G246200"
"261","Misin12G246600"
"262","Os04g0643500"
"263","SORBI_3006G236900"
"264","SORBI_3006G237300"
"265","TraesCS2A02G519900"
"266","TraesCS2B02G548800"
"267","TraesCS2D02G521300"
"268","Zm00001eb431960"
"269","Zm00001eb068730"
"270","Misin12G010500"
"271","Os04g0165000"
"272","SORBI_3006G015900"
"273","TraesCS1A02G037300"
"274","TraesCS1B02G047800"
"275","Zm00001eb418290"
"276","Zm00001eb088730"
"277","Misin12G133900"
"278","Os04g0494950"
"279","SORBI_3006G133200"
"280","TraesCS2A02G351600"
"281","TraesCS2B02G369800"
"282","TraesCS2D02G349800"
"283","Zm00001eb078660"
"284","Zm00001eb078670"
"285","Misin12G165500"
"286","Os04g0540900"
"287","SORBI_3006G163401"
"288","TraesCS2A02G389100"
"289","TraesCS2D02G386900"
"290","Zm00001eb427620"
"291","Zm00001eb075270"
"292","Misin11G159000"
"293","Misin12G185500"
"294","Os04g0549700"
"295","SORBI_3006G169900"
"296","TraesCS2A02G415300"
"297","TraesCS2B02G434300"
"298","TraesCS2D02G412400"
"299","Zm00001eb429800"
"300","Zm00001eb074770"
"301","Misin11G167000"
"302","Misin14G035400"
"303","Misin15G053700"
