"","x"
"1","N0.HOG0016187"
"2","N0.HOG0012208"
"3","N0.HOG0008767"
"4","N0.HOG0003958"
"5","N0.HOG0005399"
"6","N0.HOG0008853"
"7","N0.HOG0012933"
"8","N0.HOG0002789"
"9","N0.HOG0019895"
"10","N0.HOG0009749"
"11","N0.HOG0009893"
"12","N0.HOG0009714"
"13","N0.HOG0009733"
"14","N0.HOG0009769"
"15","N0.HOG0004368"
"16","N0.HOG0015767"
"17","N0.HOG0010844"
"18","N0.HOG0010740"
"19","N0.HOG0007664"
"20","N0.HOG0003819"
"21","N0.HOG0008913"
"22","N0.HOG0010051"
"23","N0.HOG0015040"
"24","N0.HOG0014968"
"25","N0.HOG0010095"
"26","N0.HOG0002005"
"27","N0.HOG0020648"
"28","N0.HOG0015203"
"29","N0.HOG0016443"
"30","N0.HOG0009418"
"31","N0.HOG0004797"
"32","N0.HOG0018165"
"33","N0.HOG0000491"
"34","N0.HOG0013739"
"35","N0.HOG0009290"
"36","N0.HOG0004765"
"37","N0.HOG0013888"
"38","N0.HOG0006272"
"39","N0.HOG0011281"
"40","N0.HOG0007982"
"41","N0.HOG0006221"
"42","N0.HOG0011483"
"43","N0.HOG0001052"
"44","N0.HOG0017723"
"45","N0.HOG0009554"
"46","N0.HOG0008725"
"47","N0.HOG0013409"
"48","N0.HOG0013875"
