"","x"
"1","Misin01G352200"
"2","Misin02G348600"
"3","Misin07G263400"
"4","Misin13G165500"
"5","Os05g0373700"
"6","SORBI_3001G371400"
"7","SORBI_3007G192700"
"8","TraesCS4A02G138000"
"9","TraesCS4B02G154200"
"10","TraesCS4D02G164400"
"11","Zm00001eb016960"
"12","Zm00001eb175220"
"13","Zm00001eb394670"
"14","Misin01G230100"
"15","Misin02G223900"
"16","Misin02G460500"
"17","MisinT415200"
"18","Os10g0404900"
"19","SORBI_3001G253900"
"20","SORBI_3001G488900"
"21","TraesCS4A02G016600"
"22","TraesCS4B02G287600"
"23","TraesCS4D02G286400"
"24","Zm00001eb005440"
"25","Zm00001eb048440"
"26","Zm00001eb223300"
"27","Zm00001eb402220"
"28","Misin05G046700"
"29","Misin06G129200"
"30","Os01g0152000"
"31","SORBI_3003G068100"
"32","SORBI_3003G068200"
"33","SORBI_3003G068400"
"34","SORBI_3003G068500"
"35","SORBI_3003G072000"
"36","TraesCS3A02G088000"
"37","TraesCS3A02G088100"
"38","TraesCS3D02G088300"
"39","Zm00001eb124080"
"40","Zm00001eb336020"
"41","Misin05G071500"
"42","Misin05G046900"
"43","Misin07G151000"
"44","Misin07G186000"
"45","Misin07G186400"
"46","Misin13G011400"
"47","Misin13G011600"
"48","Misin13G011800"
"49","Misin13G011900"
"50","Misin13G072300"
"51","Os08g0127100"
"52","SORBI_3004G306900"
"53","SORBI_3007G025500"
"54","SORBI_3007G025600"
"55","SORBI_3007G025700"
"56","SORBI_3007G025800"
"57","SORBI_3007G025900"
"58","SORBI_3007G092400"
"59","TraesCS7B02G213000"
"60","TraesCS7D02G309400"
"61","Zm00001eb039240"
"62","Zm00001eb412940"
"63","Zm00001eb173390"
"64","Zm00001eb261440"
"65","Zm00001eb261490"
"66","Zm00001eb261500"
"67","Zm00001eb261510"
"68","Zm00001eb318700"
"69","Misin13G011500"
"70","Misin01G003900"
"71","Misin01G396800"
"72","Misin01G396900"
"73","Misin02G383800"
"74","Misin02G406200"
"75","Misin03G052400"
"76","Misin03G236700"
"77","Misin16G030900"
"78","Os01g0502700"
"79","Os03g0279200"
"80","SORBI_3001G009700"
"81","SORBI_3001G416800"
"82","SORBI_3001G416900"
"83","SORBI_3002G059200"
"84","SORBI_3002G276000"
"85","SORBI_3008G126100"
"86","TraesCS7A02G147200"
"87","TraesCS7B02G050300"
"88","Zm00001eb160010"
"89","Zm00001eb210660"
"90","Zm00001eb302250"
"91","Zm00001eb319670"
"92","Misin04G259500"
"93","Misin05G037500"
"94","Misin05G037600"
"95","Misin06G026800"
"96","Misin06G032000"
"97","Os01g0188400"
"98","SORBI_3003G036000"
"99","SORBI_3003G036200"
"100","SORBI_3009G108700"
"101","TraesCS3A02G108900"
"102","TraesCS3B02G128000"
"103","TraesCS3D02G110700"
"104","Zm00001eb121470"
"105","Zm00001eb285890"
"106","Misin06G049000"
"107","Misin17G038000"
"108","MisinT386500"
"109","Os01g0293000"
"110","SORBI_3003G140000"
"111","SORBI_3009G033600"
