"","GOID","GOTERM","ONTOLOGY","HOGs_with_GO_COUNT","HOGs_with_GO","TOTAL_COUNT.all_GO_ID","TOTAL_COUNT.Freq","Ta_COUNT.Var1","Ta_COUNT.Freq","Os_COUNT.Var1","Os_COUNT.Freq","Ms_COUNT.Var1","Ms_COUNT.Freq","Sb_COUNT.Var1","Sb_COUNT.Freq","Zm_COUNT.Var1","Zm_COUNT.Freq","DEFINITION"
"1","GO:0006811","monoatomic ion transport","BP",1,"N0.HOG0000900","GO:0006811",13,"GO:0006811",3,"GO:0006811",1,"GO:0006811",4,"GO:0006811",2,"GO:0006811",3,"The directed movement of a monoatomic ion into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic ions (also called simple ions) are ions consisting of exactly one atom."
"2","GO:0006816","calcium ion transport","BP",1,"N0.HOG0000900","GO:0006816",13,"GO:0006816",3,"GO:0006816",1,"GO:0006816",4,"GO:0006816",2,"GO:0006816",3,"The directed movement of calcium (Ca) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"3","GO:0070588","calcium ion transmembrane transport","BP",1,"N0.HOG0000900","GO:0070588",13,"GO:0070588",3,"GO:0070588",1,"GO:0070588",4,"GO:0070588",2,"GO:0070588",3,"A process in which a calcium ion is transported from one side of a membrane to the other by means of some agent such as a transporter or pore."
"4","GO:0006952","defense response","BP",2,"N0.HOG0005093 N0.HOG0004099","GO:0006952",12,"GO:0006952",4,"GO:0006952",1,"GO:0006952",3,"GO:0006952",2,"GO:0006952",2,"Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
"5","GO:0009416","response to light stimulus","BP",1,"N0.HOG0005093","GO:0009416",9,"GO:0009416",1,"GO:0009416",0,"GO:0009416",4,"GO:0009416",2,"GO:0009416",2,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a light stimulus, electromagnetic radiation of wavelengths classified as infrared, visible or ultraviolet light."
"6","GO:0009733","response to auxin","BP",1,"N0.HOG0005093","GO:0009733",9,"GO:0009733",1,"GO:0009733",0,"GO:0009733",4,"GO:0009733",2,"GO:0009733",2,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an auxin stimulus."
"7","GO:0006281","DNA repair","BP",1,"N0.HOG0003895","GO:0006281",13,"GO:0006281",3,"GO:0006281",1,"GO:0006281",5,"GO:0006281",2,"GO:0006281",2,"The process of restoring DNA after damage. Genomes are subject to damage by chemical and physical agents in the environment (e.g. UV and ionizing radiations, chemical mutagens, fungal and bacterial toxins, etc.) and by free radicals or alkylating agents endogenously generated in metabolism. DNA is also damaged because of errors during its replication. A variety of different DNA repair pathways have been reported that include direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway."
"8","GO:0006284","base-excision repair","BP",1,"N0.HOG0003895","GO:0006284",13,"GO:0006284",3,"GO:0006284",1,"GO:0006284",5,"GO:0006284",2,"GO:0006284",2,"In base excision repair, an altered base is removed by a DNA glycosylase enzyme, followed by excision of the resulting sugar phosphate. The small gap left in the DNA helix is filled in by the sequential action of DNA polymerase and DNA ligase."
"9","GO:0048229","gametophyte development","BP",1,"N0.HOG0003895","GO:0048229",13,"GO:0048229",3,"GO:0048229",1,"GO:0048229",5,"GO:0048229",2,"GO:0048229",2,"The process whose specific outcome is the progression of the gametophyte over time, from its formation to the mature structure. The gametophyte is the gamete-producing individual or phase in the life cycle having alternation of generations. An example of this process is found in Arabidopsis thaliana."
"10","GO:0080111","DNA demethylation","BP",1,"N0.HOG0003895","GO:0080111",13,"GO:0080111",3,"GO:0080111",1,"GO:0080111",5,"GO:0080111",2,"GO:0080111",2,"The removal of a methyl group from one or more nucleotides within an DNA molecule."
