"","x"
"1","Misin01G106300"
"2","Misin02G096500"
"3","Misin11G243600"
"4","Misin12G254100"
"5","Os04g0497400"
"6","SORBI_3001G118700"
"7","SORBI_3006G244700"
"8","TraesCS2A02G352600"
"9","TraesCS2B02G371700"
"10","TraesCS2D02G351600"
"11","Zm00001eb432360"
"12","Zm00001eb068110"
"13","Misin01G148400"
"14","Misin02G114000"
"15","Misin02G444500"
"16","Os03g0197000"
"17","SORBI_3001G469700"
"18","TraesCS4A02G042300"
"19","TraesCS4B02G263000"
"20","TraesCS4D02G263100"
"21","Zm00001eb008090"
"22","Misin01G456100"
"23","Misin01G357800"
"24","Misin02G337900"
"25","Misin03G310800"
"26","Misin04G391500"
"27","Os03g0343500"
"28","SORBI_3001G376600"
"29","SORBI_3002G414700"
"30","TraesCS7A02G344500"
"31","TraesCS7B02G238600"
"32","TraesCS7D02G335000"
"33","Zm00001eb111360"
"34","Zm00001eb330470"
"35","Zm00001eb394940"
"36","Misin03G049700"
"37","Misin04G059800"
"38","Misin11G166200"
"39","Misin12G183900"
"40","Os07g0185200"
"41","SORBI_3002G056600"
"42","SORBI_3006G170700"
"43","TraesCS2A02G237900"
"44","TraesCS2B02G257400"
"45","TraesCS2D02G242200"
"46","Zm00001eb429740"
"47","Zm00001eb074680"
"48","Misin03G070000"
"49","Misin04G092000"
"50","Misin18G001300"
"51","Misin18G002100"
"52","Os05g0187000"
"53","SORBI_3010G007400"
"54","SORBI_3002G087000"
"55","SORBI_3003G035601"
"56","TraesCS1A02G122700"
"57","TraesCS1D02G123600"
"58","Zm00001eb268750"
"59","Zm00001eb304090"
"60","Misin03G151100"
"61","Misin04G165600"
"62","Misin07G517000"
"63","Misin07G517400"
"64","Misin18G065100"
"65","Misin19G069900"
"66","Os02g0785800"
"67","SORBI_3010G070500"
"68","SORBI_3002G179300"
"69","SORBI_3004G322200"
"70","TraesCS7A02G155900"
"71","TraesCS7D02G156300"
"72","Zm00001eb098510"
"73","Zm00001eb374200"
"74","Misin03G188000"
"75","Misin04G227400"
"76","Misin12G125000"
"77","Misin16G264200"
"78","Misin18G068100"
"79","Misin18G068200"
"80","Misin19G067200"
"81","Os12g0165900"
"82","Os12g0166000"
"83","SORBI_3006G126900"
"84","SORBI_3008G011100"
"85","TraesCS3A02G172200"
"86","TraesCS3B02G203000"
"87","TraesCS3D02G178700"
"88","Zm00001eb110560"
"89","Zm00001eb163070"
"90","MisinT146000"
"91","Misin03G290500"
"92","Misin04G316100"
"93","Misin07G544600"
"94","Os07g0549700"
"95","SORBI_3002G332750"
"96","SORBI_3004G347600"
"97","TraesCS2A02G212100"
"98","TraesCS2B02G237200"
"99","TraesCS2D02G218000"
"100","Zm00001eb106630"
"101","Zm00001eb323620"
"102","Misin03G290400"
"103","Misin03G331200"
"104","Misin03G331500"
"105","Misin04G347900"
"106","Misin04G348000"
"107","Misin04G348100"
"108","Os07g0614000"
"109","SORBI_3002G373100"
"110","SORBI_3002G373200"
"111","TraesCS2A02G170200"
"112","TraesCS2B02G196500"
"113","TraesCS2D02G177700"
"114","Zm00001eb092910"
"115","Zm00001eb109110"
"116","Zm00001eb113400"
"117","Misin05G138300"
"118","Misin06G127400"
"119","Misin16G126600"
"120","Misin17G100300"
"121","Misin17G100400"
"122","Os05g0358700"
"123","SORBI_3003G147000"
"124","SORBI_3009G109925"
"125","SORBI_3009G110000"
"126","TraesCS1A02G228300"
"127","TraesCS1B02G242500"
"128","TraesCS1D02G230100"
"129","Zm00001eb285800"
"130","Zm00001eb339870"
"131","Misin06G127600"
"132","Misin05G144100"
"133","Misin06G131600"
"134","Misin14G048400"
"135","Misin15G016700"
"136","Os01g0316900"
"137","SORBI_3003G150100"
"138","SORBI_3008G024600"
"139","TraesCS7A02G394400"
"140","TraesCS7B02G296400"
"141","TraesCS7D02G389800"
"142","Zm00001eb130690"
"143","Misin05G177400"
"144","Misin07G001600"
"145","Misin07G002000"
"146","Misin07G300300"
"147","Misin09G117100"
"148","Misin10G096900"
"149","Misin13G115300"
"150","Os11g0456300"
"151","Os02g0101600"
"152","SORBI_3003G197600"
"153","SORBI_3004G001400"
"154","SORBI_3005G111100"
"155","SORBI_3007G139100"
"156","TraesCS6A02G000300"
"157","TraesCS6B02G004300"
"158","TraesCS6D02G001600"
"159","TraesCS7A02G020600"
"160","TraesCS7D02G016900"
"161","Zm00001eb169970"
"162","Zm00001eb229260"
"163","Misin06G174300"
"164","Misin06G174500"
"165","Misin05G243200"
"166","Misin05G283600"
"167","Misin06G248400"
"168","Misin06G274900"
"169","Misin17G046300"
"170","Os05g0349500"
"171","SORBI_3003G267800"
"172","SORBI_3009G046700"
"173","TraesCS1A02G224800"
"174","TraesCS1B02G238000"
"175","TraesCS1D02G226200"
"176","Zm00001eb155830"
"177","Zm00001eb360880"
"178","Misin16G036400"
"179","Misin05G285200"
"180","Misin06G005200"
"181","Misin06G277200"
"182","Os01g0225500"
"183","SORBI_3003G011600"
"184","SORBI_3003G011700"
"185","SORBI_3003G011800"
"186","TraesCS3A02G150600"
"187","TraesCS3B02G177600"
"188","TraesCS3D02G158500"
"189","Zm00001eb339000"
"190","Misin06G005100"
"191","Misin05G300200"
"192","Misin06G289900"
"193","Misin16G189300"
"194","Misin17G189400"
"195","Os05g0498500"
"196","SORBI_3003G323300"
"197","SORBI_3009G185900"
"198","TraesCS1A02G317000"
"199","TraesCS1B02G329400"
"200","TraesCS1D02G317000"
"201","Zm00001eb150970"
"202","Zm00001eb291820"
"203","Zm00001eb369610"
"204","Misin05G319300"
"205","Misin06G312700"
"206","Misin16G168700"
"207","Misin17G177900"
"208","Os01g0833400"
"209","SORBI_3003G345600"
"210","SORBI_3009G167600"
"211","TraesCS1B02G301200"
"212","TraesCS1D02G290300"
"213","Zm00001eb289950"
"214","Zm00001eb368310"
"215","Misin05G363000"
"216","Os05g0316800"
"217","SORBI_3003G381400"
"218","TraesCS5A02G424600"
"219","TraesCS5B02G426600"
"220","TraesCS5D02G433100"
"221","Zm00001eb145420"
"222","Misin06G350800"
"223","Misin17G182400"
"224","Misin01G440800"
"225","Misin06G035900"
"226","Misin18G264900"
"227","Misin19G223600"
"228","Os07g0603200"
"229","SORBI_3010G262650"
"230","SORBI_3010G262800"
"231","SORBI_3003G041500"
"232","TraesCS5B02G442300"
"233","TraesCS5D02G446500"
"234","Zm00001eb227850"
"235","Misin05G064200"
"236","Misin06G230000"
"237","Misin07G211100"
"238","Misin13G005800"
"239","Os08g0110800"
"240","SORBI_3003G276901"
"241","SORBI_3007G011600"
"242","TraesCS7A02G320500"
"243","TraesCS7B02G221500"
"244","TraesCS7D02G317400"
"245","Zm00001eb174080"
"246","Zm00001eb260490"
"247","Zm00001eb363030"
"248","Misin05G256600"
"249","Misin06G287500"
"250","Misin06G293700"
"251","Misin06G293900"
"252","Os01g0802600"
"253","SORBI_3003G327400"
"254","TraesCS3A02G331200"
"255","TraesCS3B02G361400"
"256","TraesCS3D02G324600"
"257","Zm00001eb150610"
"258","Misin17G041300"
"259","Misin17G160400"
"260","Misin06G365800"
"261","Misin07G347800"
"262","Misin08G137200"
"263","Os01g0915400"
"264","SORBI_3004G147500"
"265","TraesCS2A02G275800"
"266","TraesCS2B02G293500"
"267","TraesCS2D02G274800"
"268","Zm00001eb083020"
"269","Zm00001eb179230"
"270","Zm00001eb241190"
"271","Misin05G374900"
"272","Misin07G001300"
"273","Misin18G150900"
"274","Misin19G141800"
"275","Os02g0101000"
"276","SORBI_3010G146700"
"277","SORBI_3004G001000"
"278","TraesCS6A02G002400"
"279","TraesCS6B02G007400"
"280","TraesCS6D02G003200"
"281","Zm00001eb278120"
"282","Zm00001eb404730"
"283","MisinT100200"
"284","Misin07G019900"
"285","Misin08G149800"
"286","MisinT275300"
"287","Os02g0121300"
"288","SORBI_3004G018400"
"289","SORBI_3004G162000"
"290","SORBI_3007G164300"
"291","TraesCS6A02G068900"
"292","TraesCS6B02G093100"
"293","TraesCS6D02G066700"
"294","Zm00001eb181260"
"295","Zm00001eb242390"
"296","Zm00001eb242400"
"297","Misin07G021100"
"298","Misin07G417200"
"299","Misin07G474600"
"300","Misin08G303900"
"301","Os05g0372200"
"302","SORBI_3004G223900"
"303","TraesCS6A02G221000"
"304","TraesCS6B02G262500"
"305","TraesCS6D02G214200"
"306","Zm00001eb248040"
"307","Misin08G211500"
"308","Misin07G459700"
"309","Misin08G255300"
"310","Misin16G233400"
"311","Misin17G235500"
"312","Os02g0704600"
"313","SORBI_3004G268200"
"314","SORBI_3009G227100"
"315","TraesCS6A02G272000"
"316","TraesCS6B02G299600"
"317","TraesCS6D02G252200"
"318","Zm00001eb188320"
"319","Zm00001eb252010"
"320","Zm00001eb295390"
"321","Misin07G469300"
"322","Misin08G264400"
"323","Misin18G128400"
"324","Misin19G135600"
"325","Os06g0319700"
"326","SORBI_3004G259700"
"327","TraesCS6B02G310100"
"328","TraesCS6D02G262100"
"329","Zm00001eb189260"
"330","Zm00001eb252830"
"331","Zm00001eb381630"
"332","Misin08G016700"
"333","MisinT162300"
"334","Os12g0606900"
"335","SORBI_3004G020900"
"336","SORBI_3008G161201"
"337","SORBI_3008G161300"
"338","SORBI_3008G161401"
"339","SORBI_3008G161500"
"340","TraesCS5A02G053400"
"341","TraesCS5B02G063000"
"342","TraesCS5D02G064600"
"343","Zm00001eb031350"
"344","Zm00001eb208510"
"345","Misin14G157600"
"346","Misin14G157700"
"347","Misin09G039700"
"348","Misin10G026800"
"349","Misin14G028300"
"350","Misin15G077700"
"351","Os11g0156800"
"352","SORBI_3005G043000"
"353","SORBI_3008G042800"
"354","TraesCS4A02G199000"
"355","TraesCS4B02G116400"
"356","TraesCS4D02G114100"
"357","Zm00001eb164080"
"358","Zm00001eb197530"
"359","Misin10G153000"
"360","Misin19G034000"
"361","Os11g0599200"
"362","SORBI_3010G179400"
"363","SORBI_3005G156500"
"364","SORBI_3005G156600"
"365","SORBI_3005G156800"
"366","SORBI_3005G172900"
"367","SORBI_3005G173200"
"368","TraesCS3B02G013100"
"369","TraesCS3D02G001400"
"370","Zm00001eb114130"
"371","Zm00001eb165630"
"372","Zm00001eb167530"
"373","MisinT011700"
"374","Misin10G132900"
"375","Misin18G037100"
"376","Misin11G077900"
"377","Misin12G077100"
"378","Misin12G078300"
"379","Os04g0429200"
"380","SORBI_3006G080400"
"381","TraesCS2A02G302200"
"382","TraesCS2B02G318000"
"383","TraesCS2D02G300900"
"384","Zm00001eb082910"
"385","Zm00001eb159190"
"386","Misin12G077200"
"387","Misin11G169200"
"388","Misin11G169300"
"389","Misin12G173200"
"390","Misin12G173300"
"391","Os04g0558400"
"392","SORBI_3006G175800"
"393","SORBI_3006G175900"
"394","TraesCS2D02G405600"
"395","Zm00001eb429310"
"396","Misin11G191200"
"397","Misin12G198200"
"398","Misin12G198300"
"399","Misin12G198600"
"400","Os04g0573900"
"401","SORBI_3006G185900"
"402","SORBI_3006G186000"
"403","TraesCS2A02G398800"
