"","GOID","GOTERM","ONTOLOGY","HOGs_with_GO_COUNT","HOGs_with_GO","TOTAL_COUNT.all_GO_ID","TOTAL_COUNT.Freq","Ta_COUNT.Var1","Ta_COUNT.Freq","Os_COUNT.Var1","Os_COUNT.Freq","Ms_COUNT.Var1","Ms_COUNT.Freq","Sb_COUNT.Var1","Sb_COUNT.Freq","Zm_COUNT.Var1","Zm_COUNT.Freq","DEFINITION"
"1","GO:0015914","phospholipid transport","BP",1,"N0.HOG0002869","GO:0015914",14,"GO:0015914",3,"GO:0015914",1,"GO:0015914",5,"GO:0015914",3,"GO:0015914",2,"The directed movement of phospholipids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Phospholipids are any lipids containing phosphoric acid as a mono- or diester."
"2","GO:0120009","intermembrane lipid transfer","BP",1,"N0.HOG0002869","GO:0120009",14,"GO:0120009",3,"GO:0120009",1,"GO:0120009",5,"GO:0120009",3,"GO:0120009",2,"The transport of lipids between membranes in which a lipid molecule is transported through an aqueous phase from the outer leaflet of a donor membrane to the outer leaflet of an acceptor membrane. This process does not require metabolic energy and can be either spontaneous or mediated by lipid transfer proteins (LTPs)."
"3","GO:0006811","monoatomic ion transport","BP",2,"N0.HOG0004908 N0.HOG0000900","GO:0006811",25,"GO:0006811",6,"GO:0006811",2,"GO:0006811",8,"GO:0006811",4,"GO:0006811",5,"The directed movement of a monoatomic ion into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic ions (also called simple ions) are ions consisting of exactly one atom."
"4","GO:0006816","calcium ion transport","BP",1,"N0.HOG0000900","GO:0006816",13,"GO:0006816",3,"GO:0006816",1,"GO:0006816",4,"GO:0006816",2,"GO:0006816",3,"The directed movement of calcium (Ca) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"5","GO:0070588","calcium ion transmembrane transport","BP",1,"N0.HOG0000900","GO:0070588",13,"GO:0070588",3,"GO:0070588",1,"GO:0070588",4,"GO:0070588",2,"GO:0070588",3,"A process in which a calcium ion is transported from one side of a membrane to the other by means of some agent such as a transporter or pore."
"6","GO:0006508","proteolysis","BP",1,"N0.HOG0004931","GO:0006508",12,"GO:0006508",2,"GO:0006508",1,"GO:0006508",4,"GO:0006508",3,"GO:0006508",2,"The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds."
"7","GO:0051603","proteolysis involved in protein catabolic process","BP",1,"N0.HOG0004931","GO:0051603",12,"GO:0051603",2,"GO:0051603",1,"GO:0051603",4,"GO:0051603",3,"GO:0051603",2,"The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells."
"8","GO:0016310","phosphorylation","BP",1,"N0.HOG0004512","GO:0016310",12,"GO:0016310",3,"GO:0016310",1,"GO:0016310",4,"GO:0016310",2,"GO:0016310",2,"The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."
"9","GO:1902600","proton transmembrane transport","BP",1,"N0.HOG0004908","GO:1902600",12,"GO:1902600",3,"GO:1902600",1,"GO:1902600",4,"GO:1902600",2,"GO:1902600",2,NA
"10","GO:0009058","biosynthetic process","BP",1,"N0.HOG0003607","GO:0009058",14,"GO:0009058",3,"GO:0009058",1,"GO:0009058",5,"GO:0009058",2,"GO:0009058",3,"The chemical reactions and pathways resulting in the formation of substances; typically the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones."
"11","GO:0006952","defense response","BP",2,"N0.HOG0005093 N0.HOG0004099","GO:0006952",12,"GO:0006952",4,"GO:0006952",1,"GO:0006952",3,"GO:0006952",2,"GO:0006952",2,"Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
"12","GO:0009416","response to light stimulus","BP",1,"N0.HOG0005093","GO:0009416",9,"GO:0009416",1,"GO:0009416",0,"GO:0009416",4,"GO:0009416",2,"GO:0009416",2,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a light stimulus, electromagnetic radiation of wavelengths classified as infrared, visible or ultraviolet light."
