"","x"
"1","Misin01G098500"
"2","Misin01G098600"
"3","Misin02G086200"
"4","Misin02G086300"
"5","Misin02G086400"
"6","Os03g0724100"
"7","SORBI_3001G108500"
"8","SORBI_3001G108600"
"9","SORBI_3001G108700"
"10","TraesCS4A02G259700"
"11","TraesCS4B02G055000"
"12","TraesCS4D02G055200"
"13","Zm00001eb055720"
"14","Zm00001eb055730"
"15","Misin01G098700"
"16","Misin01G446600"
"17","Misin02G422800"
"18","Misin13G189000"
"19","Os03g0203700"
"20","SORBI_3001G464900"
"21","SORBI_3007G215200"
"22","TraesCS4A02G046800"
"23","TraesCS4B02G258000"
"24","TraesCS4D02G257900"
"25","Zm00001eb007650"
"26","Zm00001eb034200"
"27","Zm00001eb199600"
"28","Misin07G224500"
"29","Misin03G070000"
"30","Misin04G092000"
"31","Misin18G001300"
"32","Misin18G002100"
"33","Os05g0187000"
"34","SORBI_3010G007400"
"35","SORBI_3002G087000"
"36","SORBI_3003G035601"
"37","TraesCS1A02G122700"
"38","TraesCS1D02G123600"
"39","Zm00001eb268750"
"40","Zm00001eb304090"
"41","Misin03G074000"
"42","Misin04G086700"
"43","Misin16G254100"
"44","Misin17G264000"
"45","Os10g0497600"
"46","SORBI_3002G082100"
"47","SORBI_3009G254000"
"48","TraesCS1A02G433500"
"49","TraesCS1B02G469400"
"50","TraesCS1D02G443100"
"51","Zm00001eb095070"
"52","Zm00001eb297460"
"53","Misin03G290500"
"54","Misin04G316100"
"55","Misin07G544600"
"56","Os07g0549700"
"57","SORBI_3002G332750"
"58","SORBI_3004G347600"
"59","TraesCS2A02G212100"
"60","TraesCS2B02G237200"
"61","TraesCS2D02G218000"
"62","Zm00001eb106630"
"63","Zm00001eb323620"
"64","Misin03G290400"
"65","Misin03G331200"
"66","Misin03G331500"
"67","Misin04G347900"
"68","Misin04G348000"
"69","Misin04G348100"
"70","Os07g0614000"
"71","SORBI_3002G373100"
"72","SORBI_3002G373200"
"73","TraesCS2A02G170200"
"74","TraesCS2B02G196500"
"75","TraesCS2D02G177700"
"76","Zm00001eb092910"
"77","Zm00001eb109110"
"78","Zm00001eb113400"
"79","Misin05G018300"
"80","Misin05G018400"
"81","Misin06G008400"
"82","Misin06G008500"
"83","Os11g0186500"
"84","SORBI_3003G015000"
"85","SORBI_3003G015100"
"86","TraesCS3A02G145300"
"87","TraesCS3B02G172400"
"88","Zm00001eb119720"
"89","Zm00001eb338800"
"90","Misin05G138300"
"91","Misin06G127400"
"92","Misin16G126600"
"93","Misin17G100300"
"94","Misin17G100400"
"95","Os05g0358700"
"96","SORBI_3003G147000"
"97","SORBI_3009G109925"
"98","SORBI_3009G110000"
"99","TraesCS1A02G228300"
"100","TraesCS1B02G242500"
"101","TraesCS1D02G230100"
"102","Zm00001eb285800"
"103","Zm00001eb339870"
"104","Misin06G127600"
"105","Misin05G243200"
"106","Misin05G283600"
"107","Misin06G248400"
"108","Misin06G274900"
"109","Misin17G046300"
"110","Os05g0349500"
"111","SORBI_3003G267800"
"112","SORBI_3009G046700"
"113","TraesCS1A02G224800"
"114","TraesCS1B02G238000"
"115","TraesCS1D02G226200"
"116","Zm00001eb155830"
"117","Zm00001eb360880"
"118","Misin16G036400"
"119","Misin05G319300"
"120","Misin06G312700"
"121","Misin16G168700"
"122","Misin17G177900"
"123","Os01g0833400"
"124","SORBI_3003G345600"
"125","SORBI_3009G167600"
"126","TraesCS1B02G301200"
"127","TraesCS1D02G290300"
"128","Zm00001eb289950"
"129","Zm00001eb368310"
"130","Misin06G230000"
"131","Misin07G211100"
"132","Misin13G005800"
"133","Os08g0110800"
"134","SORBI_3003G276901"
"135","SORBI_3007G011600"
"136","TraesCS7A02G320500"
"137","TraesCS7B02G221500"
"138","TraesCS7D02G317400"
"139","Zm00001eb174080"
"140","Zm00001eb260490"
"141","Zm00001eb363030"
"142","Misin05G256600"
"143","Misin07G019900"
"144","Misin08G149800"
"145","MisinT275300"
"146","Os02g0121300"
"147","SORBI_3004G018400"
"148","SORBI_3004G162000"
"149","SORBI_3007G164300"
"150","TraesCS6A02G068900"
"151","TraesCS6B02G093100"
"152","TraesCS6D02G066700"
"153","Zm00001eb181260"
"154","Zm00001eb242390"
"155","Zm00001eb242400"
"156","Misin07G021100"
"157","Misin07G448100"
"158","Misin08G243600"
"159","Misin11G184300"
"160","Misin12G192300"
"161","Os02g0685600"
"162","SORBI_3004G279200"
"163","SORBI_3006G192200"
"164","TraesCS2A02G456300"
"165","TraesCS2B02G478400"
"166","TraesCS2D02G456600"
"167","Zm00001eb072840"
"168","Zm00001eb250950"
"169","Misin08G138700"
"170","Misin14G079500"
"171","Os01g0218032"
"172","SORBI_3004G149800"
"173","SORBI_3008G085300"
"174","TraesCS5A02G169000"
"175","TraesCS5B02G165800"
"176","TraesCS5D02G173300"
"177","Zm00001eb202980"
"178","Zm00001eb241240"
"179","Misin15G097800"
"180","Misin15G097700"
"181","Misin07G374100"
"182","Misin09G039700"
"183","Misin10G026800"
"184","Misin14G028300"
"185","Misin15G077700"
"186","Os11g0156800"
"187","SORBI_3005G043000"
"188","SORBI_3008G042800"
"189","TraesCS4A02G199000"
"190","TraesCS4B02G116400"
"191","TraesCS4D02G114100"
"192","Zm00001eb164080"
"193","Zm00001eb197530"
"194","Misin11G103600"
"195","Misin12G099800"
"196","Misin12G099900"
"197","Misin12G100000"
"198","Os04g0450600"
"199","SORBI_3006G100332"
"200","SORBI_3006G100400"
"201","TraesCS2A02G318800"
"202","TraesCS2B02G337100"
"203","TraesCS2D02G316500"
"204","Zm00001eb423830"
"205","Zm00001eb081280"
"206","Zm00001eb081290"
"207","Misin11G258100"
"208","Misin11G258300"
"209","Misin12G264600"
"210","Misin12G264800"
"211","Os04g0666800"
"212","SORBI_3005G159100"
"213","SORBI_3006G256900"
"214","SORBI_3006G257100"
"215","TraesCS7A02G526800"
"216","TraesCS7B02G444100"
"217","Zm00001eb433080"
"218","Zm00001eb067090"
"219","Misin12G265100"
"220","Misin14G001900"
"221","Misin14G002300"
"222","Misin14G086900"
"223","MisinT054900"
"224","MisinT103100"
"225","Os12g0562400"
"226","SORBI_3005G002000"
"227","SORBI_3008G002000"
"228","TraesCS5D02G160300"
"229","Zm00001eb229070"
"230","Zm00001eb229100"
"231","Misin16G013900"
"232","Misin16G014000"
"233","Misin17G016800"
"234","Os05g0116100"
"235","SORBI_3009G017732"
"236","SORBI_3009G017800"
"237","TraesCS1B02G059100"
"238","Zm00001eb266260"
"239","Zm00001eb355540"
"240","Zm00001eb355550"
"241","Misin17G016900"
"242","Misin18G014700"
"243","Misin18G183800"
"244","Misin19G020900"
"245","Misin19G177000"
"246","Os09g0249700"
"247","SORBI_3010G020400"
"248","SORBI_3010G185400"
"249","TraesCS5A02G168400"
"250","TraesCS5B02G165200"
"251","TraesCS5D02G172700"
"252","Zm00001eb269610"
"253","Zm00001eb378360"
"254","Zm00001eb386290"
