"","x"
"1","Misin01G000800"
"2","Misin16G027700"
"3","Os03g0855600"
"4","SORBI_3001G006400"
"5","TraesCS4A02G320500"
"6","TraesCS5B02G558300"
"7","TraesCS5D02G564700"
"8","Zm00001eb064890"
"9","Zm00001eb210500"
"10","Misin01G008300"
"11","Misin16G019900"
"12","Os02g0127000"
"13","SORBI_3001G014800"
"14","SORBI_3004G169501"
"15","TraesCSU02G017600"
"16","Zm00001eb064390"
"17","Zm00001eb210860"
"18","Misin01G020300"
"19","Os03g0833600"
"20","SORBI_3001G026700"
"21","TraesCS4A02G358500"
"22","TraesCS5B02G513000"
"23","TraesCS5D02G513400"
"24","Zm00001eb063380"
"25","Zm00001eb211360"
"26","Misin01G031400"
"27","Misin02G009300"
"28","Os03g0816100"
"29","SORBI_3001G039500"
"30","TraesCS5B02G481700"
"31","TraesCS5D02G482000"
"32","Zm00001eb062230"
"33","Zm00001eb095170"
"34","Misin01G051600"
"35","Misin02G035500"
"36","Os03g0795100"
"37","SORBI_3001G058500"
"38","TraesCS5A02G435800"
"39","TraesCS5B02G439000"
"40","TraesCS5D02G443500"
"41","Zm00001eb060590"
"42","Zm00001eb213050"
"43","Misin01G053000"
"44","Misin02G037000"
"45","Misin03G042300"
"46","Misin04G049800"
"47","Os03g0793600"
"48","Os07g0175900"
"49","SORBI_3001G059900"
"50","SORBI_3002G050500"
"51","TraesCS5A02G432000"
"52","TraesCS5B02G434000"
"53","TraesCS5D02G439900"
"54","Zm00001eb060440"
"55","Zm00001eb213120"
"56","Zm00001eb301160"
"57","Zm00001eb442820"
"58","Misin01G055900"
"59","Misin02G040700"
"60","Misin03G001600"
"61","Misin03G009500"
"62","Os03g0788800"
"63","SORBI_3001G063400"
"64","SORBI_3002G040600"
"65","TraesCS2A02G248400"
"66","TraesCS2B02G268800"
"67","TraesCS2D02G250100"
"68","Zm00001eb117350"
"69","Zm00001eb213250"
"70","Zm00001eb265170"
"71","Misin01G073200"
"72","Misin02G051500"
"73","Os03g0773700"
"74","SORBI_3001G074000"
"75","TraesCS5D02G417400"
"76","Zm00001eb059050"
"77","Zm00001eb213770"
"78","Misin01G081500"
"79","Misin02G073200"
"80","Os03g0743900"
"81","SORBI_3001G094300"
"82","TraesCS5A02G382900"
"83","TraesCS5B02G387300"
"84","TraesCS5D02G392300"
"85","Zm00001eb056910"
"86","Zm00001eb215080"
"87","Misin01G121500"
"88","Misin02G110200"
"89","Misin06G307900"
"90","Os04g0418000"
"91","SORBI_3001G132100"
"92","SORBI_3003G340700"
"93","TraesCS2A02G298400"
"94","TraesCS2B02G314900"
"95","Zm00001eb053470"
"96","Zm00001eb217160"
"97","Misin01G124100"
"98","MisinT279700"
"99","Os03g0684700"
"100","SORBI_3001G134800"
"101","TraesCS4A02G286600"
"102","TraesCS4B02G028000"
"103","TraesCS4D02G025500"
"104","Zm00001eb053360"
"105","Zm00001eb217240"
"106","Misin01G126100"
"107","Misin02G130200"
"108","Misin11G161500"
"109","Misin12G168100"
"110","Os04g0544500"
"111","SORBI_3001G137300"
"112","SORBI_3006G166100"
"113","TraesCS2A02G391700"
"114","TraesCS2B02G410200"
"115","TraesCS2D02G390000"
"116","Zm00001eb427850"
"117","Zm00001eb075150"
"118","Misin01G131800"
"119","Misin02G121900"
"120","Os03g0666700"
"121","SORBI_3001G143200"
"122","TraesCS4A02G294500"
"123","TraesCS4B02G019000"
"124","TraesCS4D02G017400"
"125","Zm00001eb065450"
"126","Zm00001eb217740"
"127","Misin01G132900"
"128","Misin02G112000"
"129","Os03g0647600"
"130","SORBI_3001G154500"
"131","TraesCS5A02G373500"
"132","TraesCS5B02G375500"
"133","TraesCS5D02G383000"
"134","Zm00001eb050320"
"135","Zm00001eb218610"
"136","Misin01G169200"
"137","Os03g0568500"
"138","SORBI_3001G187200"
"139","TraesCS7A02G190000"
"140","TraesCS7B02G095100"
"141","TraesCS7D02G191200"
"142","Zm00001eb048800"
"143","Zm00001eb219860"
"144","Misin01G178800"
"145","Misin02G177300"
"146","Os10g0512700"
"147","SORBI_3001G196100"
"148","TraesCS1A02G177700"
"149","TraesCS1B02G202500"
"150","TraesCS1D02G176200"
"151","Zm00001eb043690"
"152","Zm00001eb220370"
"153","Misin01G184400"
"154","Misin02G172500"
"155","Os10g0504600"
"156","SORBI_3001G201000"
"157","TraesCS1A02G175000"
"158","TraesCS1B02G189700"
"159","TraesCS1D02G164100"
"160","Zm00001eb044090"
"161","Zm00001eb220750"
"162","Misin01G186400"
"163","Misin02G170100"
"164","Os02g0822500"
"165","SORBI_3001G203400"
"166","TraesCS6A02G406600"
"167","TraesCS6D02G390100"
"168","Zm00001eb044280"
"169","Zm00001eb220840"
"170","Misin01G188200"
"171","Misin02G166700"
"172","Os10g0499400"
"173","SORBI_3001G204900"
"174","TraesCS1A02G170000"
"175","TraesCS1B02G187200"
"176","TraesCS1D02G167600"
"177","Zm00001eb044500"
"178","Zm00001eb220900"
"179","Misin01G201500"
"180","Misin02G199000"
"181","Misin02G449400"
"182","Os10g0478200"
"183","SORBI_3001G219300"
"184","TraesCS1A02G155200"
"185","TraesCS1B02G172400"
"186","TraesCS1D02G153900"
"187","Zm00001eb045790"
"188","Zm00001eb221790"
"189","Misin04G275200"
"190","Misin01G280300"
"191","Misin02G270400"
"192","Os10g0562500"
"193","SORBI_3001G295900"
"194","TraesCS1A02G218500"
"195","TraesCS1B02G232000"
"196","TraesCS1D02G220100"
"197","Zm00001eb023710"
"198","Zm00001eb390980"
"199","Misin01G332200"
"200","Misin02G318300"
"201","Os03g0395300"
"202","SORBI_3001G347600"
"203","TraesCS1A02G248800"
"204","TraesCS1B02G259500"
"205","TraesCS1D02G248300"
"206","Zm00001eb019250"
"207","Zm00001eb392710"
"208","Misin01G342300"
"209","Misin02G334800"
"210","Os03g0367000"
"211","SORBI_3001G360900"
"212","TraesCS1B02G192700"
"213","Zm00001eb017910"
"214","Zm00001eb394230"
"215","Misin01G354600"
"216","Misin02G336800"
"217","Os03g0344700"
"218","SORBI_3001G375100"
"219","TraesCS4A02G142800"
"220","TraesCS4B02G155600"
"221","TraesCS4D02G168600"
"222","Zm00001eb016560"
"223","Zm00001eb394870"
"224","Misin01G371500"
"225","Misin02G362000"
"226","Os03g0320100"
"227","SORBI_3001G389800"
"228","TraesCS4A02G127000"
"229","TraesCS4B02G177900"
"230","Zm00001eb015240"
"231","Zm00001eb115670"
"232","Misin01G372400"
"233","Misin02G362700"
"234","Os03g0319100"
"235","SORBI_3001G390500"
"236","TraesCS4A02G126500"
"237","TraesCS4D02G180000"
"238","Zm00001eb015170"
"239","Zm00001eb395720"
"240","Misin01G384400"
"241","Misin02G379100"
"242","Os03g0294700"
"243","SORBI_3001G405100"
"244","TraesCS4A02G111500"
"245","TraesCS4B02G192300"
"246","TraesCS4D02G193600"
"247","Zm00001eb013600"
"248","Zm00001eb396900"
"249","Misin01G390800"
"250","Misin02G388600"
"251","Os03g0285800"
"252","SORBI_3001G410100"
"253","TraesCS4A02G106400"
"254","TraesCS4B02G197800"
"255","TraesCS4D02G198600"
"256","Zm00001eb013100"
"257","Zm00001eb397190"
"258","Misin01G394900"
"259","Misin02G385000"
"260","Os03g0281000"
"261","SORBI_3001G414500"
"262","TraesCS4A02G102200"
"263","TraesCS4B02G202400"
"264","TraesCS4D02G203300"
"265","Zm00001eb012790"
"266","Zm00001eb397350"
"267","Misin01G398100"
"268","Misin02G407400"
"269","Os03g0278300"
"270","SORBI_3001G417900"
"271","TraesCS4A02G099300"
"272","TraesCS4B02G205000"
"273","TraesCS4D02G205900"
"274","Zm00001eb012600"
"275","Zm00001eb397560"
"276","Misin01G401000"
"277","Misin02G409400"
"278","Os03g0275900"
"279","SORBI_3001G420500"
"280","TraesCS4A02G097700"
"281","TraesCS4B02G206900"
"282","TraesCS4D02G207700"
"283","Zm00001eb011860"
"284","Zm00001eb012430"
"285","Misin01G406500"
"286","Misin02G403000"
"287","Os03g0265100"
"288","SORBI_3001G427300"
"289","TraesCS4A02G090600"
"290","TraesCS4D02G214700"
"291","Zm00001eb011720"
"292","Zm00001eb398000"
"293","Misin01G415700"
"294","Os03g0250200"
"295","SORBI_3001G435700"
"296","TraesCS4A02G080700"
"297","TraesCS4B02G223300"
"298","TraesCS4D02G223600"
"299","Zm00001eb010740"
"300","Zm00001eb398540"
"301","Zm00001eb438800"
"302","Misin01G416900"
"303","Misin02G416400"
"304","Os10g0147900"
"305","Os03g0244700"
"306","SORBI_3001G266400"
"307","SORBI_3001G438800"
"308","TraesCS4A02G069200"
"309","TraesCS4B02G226400"
"310","TraesCS4D02G227100"
"311","Zm00001eb429630"
"312","Zm00001eb180270"
"313","Zm00001eb224170"
"314","Zm00001eb398820"
"315","Misin01G240600"
"316","Misin01G420200"
"317","Misin02G420300"
"318","Os03g0238300"
"319","SORBI_3001G442500"
"320","TraesCS4A02G073900"
"321","TraesCS4B02G230100"
"322","TraesCS4D02G231500"
"323","Zm00001eb010110"
"324","Zm00001eb399140"
"325","Misin01G433900"
"326","Misin02G433700"
"327","Os03g0219100"
"328","SORBI_3001G453900"
"329","TraesCS4A02G065900"
"330","TraesCS4B02G243300"
"331","TraesCS4D02G242900"
"332","Zm00001eb008830"
"333","Zm00001eb400000"
"334","Misin01G441900"
"335","Misin02G426900"
"336","Os03g0210500"
"337","SORBI_3001G461200"
"338","TraesCS4A02G052400"
"339","TraesCS4B02G251900"
"340","TraesCS4D02G251700"
"341","Zm00001eb007070"
"342","Zm00001eb400480"
"343","Misin01G442000"
"344","Misin02G426200"
"345","Os03g0209500"
"346","SORBI_3001G461800"
"347","TraesCS4A02G051700"
"348","TraesCS4B02G252500"
"349","TraesCS4D02G252800"
"350","Zm00001eb007140"
"351","Zm00001eb307780"
"352","Zm00001eb349590"
"353","Misin01G445400"
"354","Misin02G442200"
"355","Os03g0201901"
"356","SORBI_3001G466000"
"357","TraesCS4A02G045800"
"358","TraesCS4B02G259400"
"359","TraesCS4D02G259100"
"360","Zm00001eb007740"
"361","Zm00001eb400770"
"362","Misin01G446600"
"363","Misin02G422800"
"364","Misin13G189000"
"365","Os03g0203700"
"366","SORBI_3001G464900"
"367","SORBI_3007G215200"
"368","TraesCS4A02G046800"
"369","TraesCS4B02G258000"
"370","TraesCS4D02G257900"
"371","Zm00001eb007650"
"372","Zm00001eb034200"
"373","Zm00001eb199600"
"374","Misin07G224500"
"375","Misin01G461400"
"376","Misin02G454600"
"377","Os03g0180300"
"378","SORBI_3001G483200"
"379","TraesCS4A02G008700"
"380","TraesCS4B02G296300"
"381","TraesCS4D02G295000"
"382","Zm00001eb005950"
"383","Zm00001eb401800"
"384","Misin01G462200"
"385","Misin02G456000"
"386","Os03g0178400"
"387","SORBI_3001G484000"
"388","TraesCS4B02G293900"
"389","TraesCS4D02G292700"
"390","Zm00001eb005850"
"391","Zm00001eb017220"
"392","Misin01G463900"
"393","Misin02G457700"
"394","Os03g0175600"
"395","SORBI_3001G485800"
"396","TraesCS4A02G012200"
"397","TraesCS4B02G292100"
"398","TraesCS4D02G290800"
"399","Zm00001eb005710"
"400","Zm00001eb402000"
"401","Misin01G465200"
"402","Misin02G458800"
"403","Os03g0174200"
"404","SORBI_3001G487000"
"405","TraesCS4A02G014100"
"406","TraesCS4B02G289700"
"407","TraesCS4D02G288700"
"408","Zm00001eb005640"
"409","Zm00001eb402070"
"410","Misin01G475700"
"411","Os03g0160100"
"412","SORBI_3001G497300"
"413","TraesCS4A02G029800"
"414","TraesCS4B02G276200"
"415","TraesCS4D02G274400"
"416","Zm00001eb004500"
"417","Zm00001eb392900"
"418","Zm00001eb403280"
"419","Misin01G480900"
"420","Misin02G474000"
"421","Os03g0149300"
"422","SORBI_3001G334200"
"423","SORBI_3001G502700"
"424","TraesCS4A02G415600"
"425","TraesCS4D02G313000"
"426","Zm00001eb003960"
"427","Zm00001eb020240"
"428","Misin01G493200"
"429","MisinT364300"
"430","Os03g0135100"
"431","SORBI_3001G514300"
"432","TraesCS4B02G330900"
"433","TraesCS4D02G327800"
"434","TraesCS5A02G502300"
"435","Zm00001eb002790"
"436","Zm00001eb402630"
"437","Misin01G502500"
"438","Misin02G498500"
"439","Os03g0125800"
"440","SORBI_3001G524000"
"441","TraesCS5A02G493500"
"442","Zm00001eb001900"
"443","Zm00001eb403660"
"444","Misin02G049100"
"445","MisinT306700"
"446","Os03g0776400"
"447","SORBI_3001G071300"
"448","TraesCS5A02G411600"
"449","TraesCS5D02G420400"
"450","Zm00001eb213720"
"451","Zm00001eb250170"
"452","Zm00001eb299440"
"453","Zm00001eb366630"
"454","Misin02G078400"
"455","Os03g0736300"
"456","SORBI_3001G099100"
"457","TraesCS4A02G248200"
"458","TraesCS4B02G066700"
"459","Zm00001eb056390"
"460","Zm00001eb215310"
"461","Misin02G097700"
"462","MisinT464500"
"463","Os03g0708700"
"464","SORBI_3001G119800"
"465","TraesCS4A02G270100"
"466","TraesCS4B02G044000"
"467","TraesCS4D02G041500"
"468","Zm00001eb054660"
"469","Zm00001eb115920"
"470","Zm00001eb216510"
"471","Misin02G439500"
"472","Os03g0232600"
"473","SORBI_3001G448700"
"474","TraesCS4A02G060800"
"475","TraesCS4B02G236200"
"476","TraesCS4D02G237600"
"477","Zm00001eb009460"
"478","Zm00001eb399480"
"479","Misin03G031300"
"480","Misin04G009800"
"481","Os07g0108300"
"482","SORBI_3002G006600"
"483","TraesCS2A02G261600"
"484","TraesCS2B02G280600"
"485","Zm00001eb118240"
"486","Zm00001eb134940"
