"","x"
"1","Misin01G020500"
"2","Misin02G001900"
"3","Misin04G284400"
"4","MisinT390500"
"5","MisinT390600"
"6","MisinT390700"
"7","Os11g0139600"
"8","Os11g0705200"
"9","SORBI_3002G301800"
"10","SORBI_3005G229400"
"11","TraesCS7A02G173000"
"12","TraesCS7B02G077800"
"13","TraesCS7B02G078300"
"14","TraesCS7D02G174100"
"15","TraesCS7D02G174300"
"16","Zm00001eb164530"
"17","Misin03G268700"
"18","Misin10G200900"
"19","Misin01G082700"
"20","Misin06G006600"
"21","MisinT360400"
"22","Os01g0223600"
"23","SORBI_3003G013000"
"24","TraesCS3A02G148400"
"25","TraesCS3B02G175300"
"26","TraesCS3D02G156100"
"27","Zm00001eb119570"
"28","Zm00001eb215970"
"29","Zm00001eb338910"
"30","Misin07G083300"
"31","Misin01G126100"
"32","Misin02G130200"
"33","Misin11G161500"
"34","Misin12G168100"
"35","Os04g0544500"
"36","SORBI_3001G137300"
"37","SORBI_3006G166100"
"38","TraesCS2A02G391700"
"39","TraesCS2B02G410200"
"40","TraesCS2D02G390000"
"41","Zm00001eb427850"
"42","Zm00001eb075150"
"43","Misin01G201500"
"44","Misin02G199000"
"45","Misin02G449400"
"46","Os10g0478200"
"47","SORBI_3001G219300"
"48","TraesCS1A02G155200"
"49","TraesCS1B02G172400"
"50","TraesCS1D02G153900"
"51","Zm00001eb045790"
"52","Zm00001eb221790"
"53","Misin04G275200"
"54","Misin01G263500"
"55","Misin18G264600"
"56","Misin19G224700"
"57","Os06g0713000"
"58","SORBI_3010G262200"
"59","TraesCS7A02G383400"
"60","TraesCS7B02G286300"
"61","TraesCS7D02G379900"
"62","Zm00001eb227830"
"63","Misin08G183400"
"64","Misin01G283900"
"65","Misin01G284000"
"66","Misin01G284900"
"67","Misin02G273300"
"68","Misin02G273400"
"69","Misin02G273500"
"70","Misin02G273700"
"71","Os10g0555900"
"72","SORBI_3001G300500"
"73","SORBI_3001G300700"
"74","SORBI_3001G300800"
"75","SORBI_3001G300900"
"76","TraesCS1D02G215400"
"77","Zm00001eb023400"
"78","Zm00001eb023420"
"79","Zm00001eb391350"
"80","Zm00001eb391360"
"81","Misin01G446600"
"82","Misin02G422800"
"83","Misin13G189000"
"84","Os03g0203700"
"85","SORBI_3001G464900"
"86","SORBI_3007G215200"
"87","TraesCS4A02G046800"
"88","TraesCS4B02G258000"
"89","TraesCS4D02G257900"
"90","Zm00001eb007650"
"91","Zm00001eb034200"
"92","Zm00001eb199600"
"93","Misin07G224500"
"94","Misin02G222400"
"95","Misin16G005600"
"96","Misin17G023300"
"97","Os05g0112101"
"98","SORBI_3009G014200"
"99","TraesCS1A02G035100"
"100","TraesCS1B02G044800"
"101","TraesCS1D02G036500"
"102","Zm00001eb266760"
"103","Misin09G091200"
"104","Misin03G037500"
"105","Misin07G546500"
"106","Misin18G092700"
"107","Os02g0821400"
"108","SORBI_3004G349300"
"109","TraesCS6A02G399500"
"110","TraesCS6B02G439700"
"111","TraesCS6D02G383700"
"112","Zm00001eb191110"
"113","Misin17G069700"
"114","Misin08G333100"
"115","Misin03G118400"
"116","Misin05G042200"
"117","Misin06G030500"
"118","MisinT539900"
"119","Os02g0754700"
"120","SORBI_3002G140000"
"121","SORBI_3003G040000"
"122","TraesCS2B02G560200"
"123","Zm00001eb122020"
"124","Misin03G146000"
"125","Misin04G164200"
"126","Os09g0345300"
"127","SORBI_3002G176500"
"128","SORBI_3002G176700"
"129","TraesCS5A02G186500"
"130","TraesCS5B02G184900"
"131","TraesCS5D02G191800"
"132","Zm00001eb310470"
"133","MisinT315400"
"134","Misin03G148500"
"135","Misin03G279600"
"136","Misin04G302000"
"137","Misin17G027800"
"138","MisinT426700"
"139","Os07g0517300"
"140","SORBI_3001G252200"
"141","SORBI_3002G319200"
"142","TraesCS2A02G221800"
"143","TraesCS2B02G247200"
"144","TraesCS2D02G227700"
"145","Zm00001eb106060"
"146","Zm00001eb322750"
"147","Misin03G292100"
"148","Misin04G317100"
"149","Os07g0553400"
"150","SORBI_3002G334000"
"151","SORBI_3002G334100"
"152","SORBI_3002G334200"
"153","TraesCS2A02G210400"
"154","TraesCS2B02G236500"
"155","TraesCS2D02G217100"
"156","Zm00001eb106670"
"157","Zm00001eb323760"
"158","Misin03G291900"
"159","Misin03G292000"
"160","Misin03G328900"
"161","Misin04G319900"
"162","Misin07G230000"
"163","Misin13G183300"
"164","Os08g0506700"
"165","SORBI_3007G211000"
"166","TraesCS7A02G245800"
"167","TraesCS7B02G145800"
"168","TraesCS7D02G244300"
"169","Zm00001eb034940"
"170","Zm00001eb106720"
"171","Zm00001eb323880"
"172","Misin04G215500"
"173","Misin08G032100"
"174","Os09g0470000"
"175","SORBI_3002G233700"
"176","SORBI_3004G035500"
"177","TraesCS5A02G248900"
"178","TraesCS5B02G246600"
"179","TraesCS5D02G256100"
"180","Zm00001eb101270"
"181","Misin07G034000"
"182","Misin03G195300"
"183","Misin04G294200"
"184","Os07g0502900"
"185","SORBI_3002G311300"
"186","TraesCS2A02G487400"
"187","TraesCS2B02G514400"
"188","TraesCS2D02G487500"
"189","Zm00001eb322190"
"190","Misin03G271600"
"191","Misin03G271900"
"192","Misin03G271800"
"193","Misin05G018300"
"194","Misin05G018400"
"195","Misin06G008400"
"196","Misin06G008500"
"197","Os11g0186500"
"198","SORBI_3003G015000"
"199","SORBI_3003G015100"
"200","TraesCS3A02G145300"
"201","TraesCS3B02G172400"
"202","Zm00001eb119720"
"203","Zm00001eb338800"
"204","Misin05G319700"
"205","Misin05G321000"
"206","Misin05G322500"
"207","Misin06G313100"
"208","Os01g0833800"
"209","SORBI_3003G346000"
"210","TraesCS3B02G385100"
"211","TraesCS3D02G346500"
"212","Zm00001eb148890"
"213","Misin05G367600"
"214","Misin06G339600"
"215","Misin06G401400"
"216","Misin14G053700"
"217","Os01g0871500"
"218","SORBI_3003G371000"
"219","TraesCS3B02G414800"
"220","TraesCS3D02G375900"
"221","TraesCS4B02G057000"
"222","Zm00001eb146390"
"223","Misin02G033100"
"224","Misin07G014200"
"225","Misin08G011900"
"226","Os02g0117500"
"227","SORBI_3004G013200"
"228","SORBI_3004G013300"
"229","TraesCS6B02G066200"
"230","TraesCSU02G108800"
"231","Zm00001eb055130"
"232","Zm00001eb411500"
"233","Zm00001eb209370"
"234","Zm00001eb230060"
"235","Misin08G011700"
"236","Misin07G014100"
"237","Misin07G051700"
"238","Misin15G049000"
"239","Misin17G252700"
"240","Os02g0167100"
"241","SORBI_3004G053000"
"242","TraesCS6A02G140200"
"243","TraesCS6D02G128800"
"244","Zm00001eb207410"
"245","Misin17G179000"
"246","Misin17G252500"
"247","Misin17G183500"
"248","Misin08G051600"
"249","Misin07G429000"
"250","Misin07G429100"
"251","Misin08G222400"
"252","Misin08G222500"
"253","Os02g0650300"
"254","SORBI_3004G299500"
"255","SORBI_3004G299600"
"256","SORBI_3004G299700"
"257","TraesCS6A02G240900"
"258","TraesCS6B02G283800"
"259","TraesCS6D02G223100"
"260","Zm00001eb248990"
"261","Zm00001eb249020"
"262","Misin08G138700"
"263","Misin14G079500"
"264","Os01g0218032"
"265","SORBI_3004G149800"
"266","SORBI_3008G085300"
"267","TraesCS5A02G169000"
"268","TraesCS5B02G165800"
"269","TraesCS5D02G173300"
"270","Zm00001eb202980"
"271","Zm00001eb241240"
"272","Misin15G097800"
"273","Misin15G097700"
"274","Misin07G374100"
"275","Misin09G077200"
"276","Misin09G082400"
"277","Misin09G097600"
"278","Misin10G076700"
"279","Os05g0160300"
"280","SORBI_3005G096101"
"281","TraesCS7A02G452100"
"282","TraesCS7B02G351900"
"283","TraesCS7D02G441100"
"284","Zm00001eb090910"
"285","Misin09G193300"
"286","Misin10G169700"
"287","Misin14G118400"
"288","Misin15G140600"
"289","Os12g0552700"
"290","SORBI_3005G205000"
"291","SORBI_3008G124500"
"292","TraesCS5A02G091800"
"293","TraesCS5B02G097800"
"294","TraesCS5D02G103900"
"295","Zm00001eb410120"
"296","Zm00001eb137200"
"297","Zm00001eb165480"
"298","Misin10G020500"
"299","Misin14G038200"
"300","Misin15G049400"
"301","MisinT240500"
"302","Os11g0150450"
"303","SORBI_3005G036400"
"304","SORBI_3008G035501"
"305","TraesCS5A02G129900"
"306","TraesCS5B02G129800"
"307","TraesCS5D02G137400"
"308","Zm00001eb092730"
"309","Misin11G009600"
"310","Misin11G266400"
"311","Misin12G020200"
"312","Misin15G068900"
"313","Os04g0682300"
"314","SORBI_3006G008200"
"315","SORBI_3006G271500"
"316","TraesCS2B02G599300"
"317","Zm00001eb065790"
"318","Misin11G170700"
"319","Misin11G170800"
"320","Misin12G175600"
"321","Misin12G175700"
"322","Os04g0556000"
"323","SORBI_3006G173700"
"324","SORBI_3006G173800"
"325","TraesCS2B02G429200"
"326","TraesCS2D02G407800"
"327","Zm00001eb074360"
"328","Zm00001eb074380"
"329","Misin11G258100"
"330","Misin11G258300"
"331","Misin12G264600"
"332","Misin12G264800"
"333","Os04g0666800"
"334","SORBI_3005G159100"
"335","SORBI_3006G256900"
"336","SORBI_3006G257100"
"337","TraesCS7A02G526800"
"338","TraesCS7B02G444100"
"339","Zm00001eb433080"
"340","Zm00001eb067090"
"341","Misin12G265100"
"342","Misin12G172900"
"343","Misin12G175200"
"344","Misin19G016500"
"345","MisinT347600"
"346","Os04g0560600"
"347","SORBI_3006G177500"
"348","TraesCS2A02G407200"
"349","TraesCS2B02G424900"
"350","TraesCS2D02G404200"
"351","Zm00001eb429270"
"352","Misin14G001900"
"353","Misin14G002300"
"354","Misin14G086900"
"355","MisinT054900"
"356","MisinT103100"
"357","Os12g0562400"
"358","SORBI_3005G002000"
"359","SORBI_3008G002000"
"360","TraesCS5D02G160300"
"361","Zm00001eb229070"
"362","Zm00001eb229100"
"363","Misin18G080200"
"364","Misin18G080300"
"365","Misin19G059400"
"366","Misin19G060600"
"367","Os06g0172800"
"368","SORBI_3010G057300"
"369","SORBI_3010G057400"
"370","TraesCS7A02G134100"
"371","TraesCS7B02G035200"
"372","TraesCS7D02G133500"
"373","Zm00001eb281720"
"374","Misin18G118800"
"375","Misin19G085600"
"376","Misin19G117200"
"377","Os06g0267500"
"378","SORBI_3010G111800"
"379","TraesCS7A02G208200"
"380","TraesCS7B02G115400"
"381","TraesCS7D02G210600"
"382","Zm00001eb280480"
"383","Zm00001eb280490"
"384","Misin04G220300"
"385","Misin18G231600"
"386","Misin18G232000"
"387","Misin18G232300"
"388","Misin19G271200"
"389","Misin19G271300"
"390","Misin19G271600"
