"","x"
"1","Misin03G179400"
"2","Misin04G198800"
"3","Os09g0438400"
"4","SORBI_3002G214400"
"5","TraesCS5A02G212300"
"6","TraesCS5B02G211400"
"7","TraesCS5D02G219700"
"8","Zm00001eb100060"
"9","Zm00001eb313980"
"10","Misin05G347200"
"11","Misin06G341700"
"12","Os01g0874300"
"13","SORBI_3003G373000"
"14","TraesCS3A02G384400"
"15","TraesCS3B02G416400"
"16","TraesCS3D02G377300"
"17","Zm00001eb146230"
"18","Zm00001eb366540"
"19","Misin06G246500"
"20","MisinT259600"
"21","Os01g0703400"
"22","SORBI_3003G270500"
"23","TraesCS3B02G286300"
"24","Zm00001eb155590"
"25","Zm00001eb361070"
"26","Misin07G194900"
"27","Misin13G010600"
"28","Os08g0115800"
"29","SORBI_3007G018100"
"30","TraesCS7A02G317100"
"31","TraesCS7D02G314000"
"32","Zm00001eb173840"
"33","Zm00001eb260850"
"34","Misin11G228700"
"35","Misin12G242500"
"36","Os04g0636900"
"37","SORBI_3006G233300"
"38","TraesCS2A02G526400"
"39","TraesCS2B02G556700"
"40","TraesCS2D02G529100"
"41","Zm00001eb431740"
"42","Zm00001eb069130"
"43","Misin16G003900"
"44","Os05g0114100"
"45","SORBI_3009G016100"
"46","TraesCS1A02G039300"
"47","TraesCS1B02G052100"
"48","TraesCSU02G006000"
"49","Zm00001eb266460"
"50","Zm00001eb266470"
"51","MisinT100700"
"52","Misin17G018900"
"53","Misin16G081700"
"54","Misin17G083500"
"55","Os05g0183100"
"56","SORBI_3009G068900"
"57","TraesCS1A02G121500"
"58","TraesCS1D02G122400"
"59","Zm00001eb282840"
"60","Zm00001eb346880"
