"","GOID","GOTERM","ONTOLOGY","HOGs_with_GO_COUNT","HOGs_with_GO","TOTAL_COUNT.all_GO_ID","TOTAL_COUNT.Freq","Ta_COUNT.Var1","Ta_COUNT.Freq","Os_COUNT.Var1","Os_COUNT.Freq","Ms_COUNT.Var1","Ms_COUNT.Freq","Sb_COUNT.Var1","Sb_COUNT.Freq","Zm_COUNT.Var1","Zm_COUNT.Freq","DEFINITION"
"1","GO:0045050","protein insertion into ER membrane by stop-transfer membrane-anchor sequence","BP",1,"N0.HOG0011596","GO:0045050",7,"GO:0045050",1,"GO:0045050",1,"GO:0045050",2,"GO:0045050",1,"GO:0045050",2,"A process of protein insertion into the endoplasmic reticulum (ER) membrane in which stop-transfer membrane-anchor sequences become an ER membrane spanning helix."
"2","GO:0071816","tail-anchored membrane protein insertion into ER membrane","BP",1,"N0.HOG0011596","GO:0071816",7,"GO:0071816",1,"GO:0071816",1,"GO:0071816",2,"GO:0071816",1,"GO:0071816",2,"A process of protein insertion into the endoplasmic reticulum (ER) membrane in which a tail-anchored (TA) transmembrane protein is incorporated into an endoplasmic reticulum (ER) membrane. TA transmembrane protein, also named type II transmembrane proteins, contain a single C- terminal transmembrane region."
"3","GO:0006412","translation","BP",9,"N0.HOG0002924 N0.HOG0001401 N0.HOG0001557 N0.HOG0000893 N0.HOG0007577 N0.HOG0001787 N0.HOG0006269 N0.HOG0001264 N0.HOG0001810","GO:0006412",128,"GO:0006412",27,"GO:0006412",12,"GO:0006412",39,"GO:0006412",29,"GO:0006412",21,"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome."
"4","GO:0061484","hematopoietic stem cell homeostasis","BP",1,"N0.HOG0001264","GO:0061484",2,"GO:0061484",2,"GO:0061484",0,"GO:0061484",0,"GO:0061484",0,"GO:0061484",0,"Any biological process involved in the maintenance of the steady-state number of hematopoietic stem cells within a population of cells."
"5","GO:0006355","regulation of DNA-templated transcription","BP",9,"N0.HOG0004683 N0.HOG0003297 N0.HOG0006018 N0.HOG0006387 N0.HOG0006316 N0.HOG0004356 N0.HOG0008741 N0.HOG0010063 N0.HOG0002693","GO:0006355",101,"GO:0006355",26,"GO:0006355",9,"GO:0006355",28,"GO:0006355",18,"GO:0006355",20,"Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"6","GO:0009909","regulation of flower development","BP",1,"N0.HOG0008741","GO:0009909",9,"GO:0009909",3,"GO:0009909",1,"GO:0009909",2,"GO:0009909",2,"GO:0009909",1,"Any process that modulates the frequency, rate or extent of flower development."
"7","GO:0010228","vegetative to reproductive phase transition of meristem","BP",2,"N0.HOG0008741 N0.HOG0002820","GO:0010228",10,"GO:0010228",3,"GO:0010228",1,"GO:0010228",3,"GO:0010228",2,"GO:0010228",1,"The process involved in transforming a meristem that produces vegetative structures, such as leaves, into a meristem that produces reproductive structures, such as a flower or an inflorescence."
"8","GO:0009561","megagametogenesis","BP",1,"N0.HOG0004030","GO:0009561",13,"GO:0009561",3,"GO:0009561",1,"GO:0009561",4,"GO:0009561",2,"GO:0009561",3,"The process whose specific outcome is the progression of the embryo sac over time, from its formation as the megaspore to the mature structure. The process begins when three of the four haploid megaspores disintegrate, and the fourth undergoes mitosis giving rise to a binucleate syncytial embryo sac. The two haploid nuclei migrate to the opposite poles of the embryo sac and then undergo two rounds of mitosis generating four haploid nuclei at each pole. One nucleus from each set of four migrates to the center of the cell. Cellularization occurs, resulting in an eight-nucleate seven-celled structure. This structure contains two synergid cells and an egg cell at the micropylar end, and three antipodal cells at the other end. A binucleate endosperm mother cell is formed at the center."
"9","GO:0016567","protein ubiquitination","BP",10,"N0.HOG0000460 N0.HOG0018900 N0.HOG0004030 N0.HOG0007797 N0.HOG0004647 N0.HOG0009630 N0.HOG0004646 N0.HOG0009608 N0.HOG0006601 N0.HOG0005186","GO:0016567",96,"GO:0016567",24,"GO:0016567",9,"GO:0016567",31,"GO:0016567",19,"GO:0016567",13,"The process in which one or more ubiquitin groups are added to a protein."
"10","GO:0051603","proteolysis involved in protein catabolic process","BP",2,"N0.HOG0004030 N0.HOG0004931","GO:0051603",25,"GO:0051603",5,"GO:0051603",2,"GO:0051603",8,"GO:0051603",5,"GO:0051603",5,"The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells."
"11","GO:0051726","regulation of cell cycle","BP",1,"N0.HOG0004030","GO:0051726",13,"GO:0051726",3,"GO:0051726",1,"GO:0051726",4,"GO:0051726",2,"GO:0051726",3,"Any process that modulates the rate or extent of progression through the cell cycle."
"12","GO:0055046","microgametogenesis","BP",1,"N0.HOG0004030","GO:0055046",13,"GO:0055046",3,"GO:0055046",1,"GO:0055046",4,"GO:0055046",2,"GO:0055046",3,"The process whose specific outcome is the progression of the pollen grain over time, from its formation as the microspore to the mature structure."
"13","GO:0006862","nucleotide transport","BP",1,"N0.HOG0016549","GO:0006862",7,"GO:0006862",1,"GO:0006862",1,"GO:0006862",2,"GO:0006862",2,"GO:0006862",1,"The directed movement of a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate, into, out of or within a cell."
"14","GO:0055085","transmembrane transport","BP",16,"N0.HOG0008719 N0.HOG0004518 N0.HOG0001151 N0.HOG0016549 N0.HOG0000336 N0.HOG0006293 N0.HOG0005640 N0.HOG0006994 N0.HOG0014052 N0.HOG0003768 N0.HOG0000149 N0.HOG0001790 N0.HOG0015744 N0.HOG0006613 N0.HOG0000959 N0.HOG0000208","GO:0055085",181,"GO:0055085",42,"GO:0055085",19,"GO:0055085",45,"GO:0055085",48,"GO:0055085",27,"The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other."
"15","GO:0015914","phospholipid transport","BP",1,"N0.HOG0002869","GO:0015914",14,"GO:0015914",3,"GO:0015914",1,"GO:0015914",5,"GO:0015914",3,"GO:0015914",2,"The directed movement of phospholipids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Phospholipids are any lipids containing phosphoric acid as a mono- or diester."
