"","x"
"1","Misin01G005100"
"2","Misin16G032200"
"3","Os03g0851100"
"4","SORBI_3001G011000"
"5","TraesCS4A02G330400"
"6","Zm00001eb064580"
"7","Zm00001eb210740"
"8","Zm00001eb313420"
"9","Misin01G009000"
"10","Misin16G018200"
"11","Os03g0844700"
"12","SORBI_3001G015500"
"13","TraesCS4A02G341100"
"14","TraesCS5B02G533400"
"15","TraesCS5D02G531600"
"16","Zm00001eb064270"
"17","Zm00001eb210890"
"18","Misin01G009100"
"19","Misin01G011300"
"20","Misin16G011700"
"21","Os03g0842700"
"22","SORBI_3001G017800"
"23","TraesCS4A02G343800"
"24","TraesCS5B02G530100"
"25","TraesCS5B02G530300"
"26","TraesCS5D02G529100"
"27","Zm00001eb064020"
"28","Zm00001eb086740"
"29","Zm00001eb090720"
"30","Zm00001eb310080"
"31","Misin01G023900"
"32","Misin02G016600"
"33","Os03g0824200"
"34","SORBI_3001G031200"
"35","TraesCS5A02G486400"
"36","TraesCS5B02G500200"
"37","TraesCS5D02G500400"
"38","Zm00001eb211470"
"39","Zm00001eb356470"
"40","Misin01G026600"
"41","Os03g0820900"
"42","SORBI_3001G034500"
"43","TraesCS5A02G479100"
"44","TraesCS5B02G492000"
"45","TraesCS5D02G492600"
"46","Zm00001eb062630"
"47","Zm00001eb211720"
"48","Misin02G013100"
"49","Misin01G032300"
"50","Misin02G018700"
"51","Os04g0423700"
"52","SORBI_3001G040300"
"53","TraesCS2B02G317300"
"54","TraesCS2D02G299800"
"55","Zm00001eb062160"
"56","Zm00001eb440740"
"57","Misin01G036300"
"58","Misin02G022000"
"59","Os03g0809300"
"60","SORBI_3001G043800"
"61","TraesCS5A02G460700"
"62","TraesCS5B02G470500"
"63","TraesCS5D02G472400"
"64","Zm00001eb061960"
"65","Zm00001eb212400"
"66","Misin01G052100"
"67","Misin06G411800"
"68","Misin06G412100"
"69","Os10g0486900"
"70","SORBI_3003G395100"
"71","TraesCS5A02G336700"
"72","TraesCS5B02G335700"
"73","TraesCS5D02G341400"
"74","Zm00001eb060560"
"75","Zm00001eb365370"
"76","Misin01G053800"
"77","Os03g0792500"
"78","SORBI_3001G061700"
"79","TraesCS5A02G429400"
"80","Zm00001eb060340"
"81","Zm00001eb213160"
"82","Misin01G071600"
"83","Os03g0770000"
"84","SORBI_3001G075900"
"85","TraesCS5A02G405200"
"86","TraesCS5B02G410000"
"87","TraesCS5D02G415300"
"88","Zm00001eb058820"
"89","Zm00001eb213880"
"90","Misin01G073600"
"91","Misin02G052000"
"92","Os03g0774200"
"93","SORBI_3001G073600"
"94","TraesCS5A02G408100"
"95","TraesCS5B02G413000"
"96","TraesCS5D02G418000"
"97","Zm00001eb059090"
"98","Zm00001eb213750"
"99","Misin01G085400"
"100","Misin02G065800"
"101","Os03g0748700"
"102","SORBI_3001G089800"
"103","TraesCS5A02G387500"
"104","TraesCS5B02G053000"
"105","TraesCS5D02G397400"
"106","Zm00001eb057200"
"107","Zm00001eb214910"
"108","Misin01G098000"
"109","Misin02G085700"
"110","Os03g0725100"
"111","SORBI_3001G107900"
"112","TraesCS4A02G258200"
"113","TraesCS4B02G056200"
"114","TraesCS4D02G056600"
"115","Zm00001eb055800"
"116","Zm00001eb215820"
"117","Misin01G099700"
"118","Misin02G086900"
"119","Os03g0722500"
"120","SORBI_3001G109400"
"121","TraesCS4A02G260900"
"122","TraesCS4B02G053700"
"123","TraesCS4D02G053700"
"124","Zm00001eb215900"
"125","Zm00001eb319040"
"126","Misin01G106300"
"127","Misin02G096500"
"128","Misin11G243600"
"129","Misin12G254100"
"130","Os04g0497400"
"131","SORBI_3001G118700"
"132","SORBI_3006G244700"
"133","TraesCS2A02G352600"
"134","TraesCS2B02G371700"
"135","TraesCS2D02G351600"
"136","Zm00001eb432360"
"137","Zm00001eb068110"
"138","Misin01G109500"
"139","Misin02G097600"
"140","Os03g0708800"
"141","SORBI_3001G119700"
"142","TraesCS4A02G270000"
"143","TraesCS4B02G044100"
"144","TraesCS4D02G041600"
"145","Zm00001eb054670"
"146","Zm00001eb216500"
"147","Misin01G116700"
"148","Misin02G104000"
"149","Os03g0699200"
"150","SORBI_3001G126600"
"151","TraesCS4A02G276400"
"152","TraesCS4B02G037300"
