"","x"
"1","Misin05G046700"
"2","Misin06G129200"
"3","Os01g0152000"
"4","SORBI_3003G068100"
"5","SORBI_3003G068200"
"6","SORBI_3003G068400"
"7","SORBI_3003G068500"
"8","SORBI_3003G072000"
"9","TraesCS3A02G088000"
"10","TraesCS3A02G088100"
"11","TraesCS3D02G088300"
"12","Zm00001eb124080"
"13","Zm00001eb336020"
"14","Misin05G071500"
"15","Misin05G046900"
"16","Misin05G144400"
"17","Misin05G144500"
"18","Misin06G132000"
"19","Os01g0319000"
"20","SORBI_3003G150600"
"21","SORBI_3003G150700"
"22","TraesCS2A02G377100"
"23","TraesCS2B02G394300"
"24","TraesCS2D02G373700"
"25","Zm00001eb130750"
"26","Zm00001eb340500"
"27","Misin06G132100"
"28","Misin11G232300"
"29","Misin11G232600"
"30","Misin12G246200"
"31","Misin12G246600"
"32","Os04g0643500"
"33","SORBI_3006G236900"
"34","SORBI_3006G237300"
"35","TraesCS2A02G519900"
"36","TraesCS2B02G548800"
"37","TraesCS2D02G521300"
"38","Zm00001eb431960"
"39","Zm00001eb068730"
