"","x"
"1","N0.HOG0016187"
"2","N0.HOG0005253"
"3","N0.HOG0008510"
"4","N0.HOG0012810"
"5","N0.HOG0002190"
"6","N0.HOG0012567"
"7","N0.HOG0012342"
"8","N0.HOG0012208"
"9","N0.HOG0008767"
"10","N0.HOG0012449"
"11","N0.HOG0006641"
"12","N0.HOG0003958"
"13","N0.HOG0019683"
"14","N0.HOG0001171"
"15","N0.HOG0005399"
"16","N0.HOG0012438"
"17","N0.HOG0008853"
"18","N0.HOG0016708"
"19","N0.HOG0001420"
"20","N0.HOG0000608"
"21","N0.HOG0016804"
"22","N0.HOG0012933"
"23","N0.HOG0012636"
"24","N0.HOG0006563"
"25","N0.HOG0016868"
"26","N0.HOG0000348"
"27","N0.HOG0012255"
"28","N0.HOG0016643"
"29","N0.HOG0002789"
"30","N0.HOG0019895"
"31","N0.HOG0017127"
"32","N0.HOG0012337"
"33","N0.HOG0004740"
"34","N0.HOG0006342"
"35","N0.HOG0012663"
"36","N0.HOG0006292"
"37","N0.HOG0009749"
"38","N0.HOG0014615"
"39","N0.HOG0017557"
"40","N0.HOG0003599"
"41","N0.HOG0009893"
"42","N0.HOG0009714"
"43","N0.HOG0009733"
"44","N0.HOG0017920"
"45","N0.HOG0014472"
"46","N0.HOG0004780"
"47","N0.HOG0014528"
"48","N0.HOG0017986"
"49","N0.HOG0009769"
"50","N0.HOG0020511"
"51","N0.HOG0014498"
"52","N0.HOG0010670"
"53","N0.HOG0011041"
"54","N0.HOG0004368"
"55","N0.HOG0015789"
"56","N0.HOG0015638"
"57","N0.HOG0004403"
"58","N0.HOG0015767"
"59","N0.HOG0010844"
"60","N0.HOG0004360"
"61","N0.HOG0010573"
"62","N0.HOG0015688"
"63","N0.HOG0000509"
"64","N0.HOG0010740"
"65","N0.HOG0007664"
"66","N0.HOG0015557"
"67","N0.HOG0003741"
"68","N0.HOG0019050"
"69","N0.HOG0005971"
"70","N0.HOG0016195"
"71","N0.HOG0003819"
"72","N0.HOG0010916"
"73","N0.HOG0013017"
"74","N0.HOG0008913"
"75","N0.HOG0004036"
"76","N0.HOG0013009"
"77","N0.HOG0016995"
"78","N0.HOG0012020"
"79","N0.HOG0002781"
"80","N0.HOG0004936"
"81","N0.HOG0018562"
"82","N0.HOG0018485"
"83","N0.HOG0018406"
"84","N0.HOG0010051"
"85","N0.HOG0015040"
"86","N0.HOG0014968"
"87","N0.HOG0010095"
"88","N0.HOG0006820"
"89","N0.HOG0002005"
"90","N0.HOG0018522"
"91","N0.HOG0020648"
"92","N0.HOG0015203"
"93","N0.HOG0016253"
"94","N0.HOG0016443"
"95","N0.HOG0011916"
"96","N0.HOG0016930"
"97","N0.HOG0003778"
"98","N0.HOG0002701"
"99","N0.HOG0003229"
"100","N0.HOG0019161"
"101","N0.HOG0000798"
"102","N0.HOG0004429"
"103","N0.HOG0017541"
"104","N0.HOG0013436"
"105","N0.HOG0013795"
"106","N0.HOG0013581"
"107","N0.HOG0002347"
"108","N0.HOG0013693"
"109","N0.HOG0009418"
"110","N0.HOG0004797"
"111","N0.HOG0005631"
"112","N0.HOG0013719"
"113","N0.HOG0013772"
"114","N0.HOG0018165"
"115","N0.HOG0006558"
"116","N0.HOG0018196"
"117","N0.HOG0000491"
"118","N0.HOG0013739"
"119","N0.HOG0009290"
"120","N0.HOG0010036"
"121","N0.HOG0004765"
"122","N0.HOG0004079"
"123","N0.HOG0017194"
"124","N0.HOG0019931"
"125","N0.HOG0019953"
"126","N0.HOG0013888"
"127","N0.HOG0005270"
"128","N0.HOG0006272"
"129","N0.HOG0011398"
"130","N0.HOG0011281"
"131","N0.HOG0007915"
"132","N0.HOG0016145"
"133","N0.HOG0011336"
"134","N0.HOG0004535"
"135","N0.HOG0001396"
"136","N0.HOG0007982"
"137","N0.HOG0002216"
"138","N0.HOG0011399"
"139","N0.HOG0006221"
"140","N0.HOG0011483"
"141","N0.HOG0002324"
"142","N0.HOG0016052"
"143","N0.HOG0001052"
"144","N0.HOG0001722"
"145","N0.HOG0022199"
"146","N0.HOG0017794"
"147","N0.HOG0004861"
"148","N0.HOG0001760"
"149","N0.HOG0006908"
"150","N0.HOG0018102"
"151","N0.HOG0017723"
"152","N0.HOG0014165"
"153","N0.HOG0020171"
"154","N0.HOG0009554"
"155","N0.HOG0000950"
"156","N0.HOG0009517"
"157","N0.HOG0021777"
"158","N0.HOG0011657"
"159","N0.HOG0004393"
"160","N0.HOG0008725"
"161","N0.HOG0002099"
"162","N0.HOG0012994"
"163","N0.HOG0003586"
"164","N0.HOG0005094"
"165","N0.HOG0013409"
"166","N0.HOG0017354"
"167","N0.HOG0002809"
"168","N0.HOG0003614"
"169","N0.HOG0006742"
"170","N0.HOG0013403"
"171","N0.HOG0014221"
"172","N0.HOG0007071"
"173","N0.HOG0013875"
"174","N0.HOG0014600"
"175","N0.HOG0002901"
"176","N0.HOG0016109"
