"","GOID","GOTERM","ONTOLOGY","HOGs_with_GO_COUNT","HOGs_with_GO","TOTAL_COUNT.all_GO_ID","TOTAL_COUNT.Freq","Ta_COUNT.Var1","Ta_COUNT.Freq","Os_COUNT.Var1","Os_COUNT.Freq","Ms_COUNT.Var1","Ms_COUNT.Freq","Sb_COUNT.Var1","Sb_COUNT.Freq","Zm_COUNT.Var1","Zm_COUNT.Freq","DEFINITION"
"1","GO:0006355","regulation of DNA-templated transcription","BP",12,"N0.HOG0010731 N0.HOG0015153 N0.HOG0004915 N0.HOG0009109 N0.HOG0002535 N0.HOG0006209 N0.HOG0007619 N0.HOG0005664 N0.HOG0007545 N0.HOG0008741 N0.HOG0008210 N0.HOG0010063","GO:0006355",110,"GO:0006355",33,"GO:0006355",13,"GO:0006355",28,"GO:0006355",15,"GO:0006355",21,"Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"2","GO:0009909","regulation of flower development","BP",1,"N0.HOG0008741","GO:0009909",9,"GO:0009909",3,"GO:0009909",1,"GO:0009909",2,"GO:0009909",2,"GO:0009909",1,"Any process that modulates the frequency, rate or extent of flower development."
"3","GO:0010228","vegetative to reproductive phase transition of meristem","BP",2,"N0.HOG0008741 N0.HOG0008273","GO:0010228",13,"GO:0010228",3,"GO:0010228",1,"GO:0010228",4,"GO:0010228",3,"GO:0010228",2,"The process involved in transforming a meristem that produces vegetative structures, such as leaves, into a meristem that produces reproductive structures, such as a flower or an inflorescence."
"4","GO:0046856","phosphatidylinositol dephosphorylation","BP",2,"N0.HOG0002858 N0.HOG0008751","GO:0046856",24,"GO:0046856",6,"GO:0046856",3,"GO:0046856",6,"GO:0046856",3,"GO:0046856",6,"The process of removing one or more phosphate groups from a phosphatidylinositol."
"5","GO:0000103","sulfate assimilation","BP",1,"N0.HOG0008749","GO:0000103",9,"GO:0000103",3,"GO:0000103",1,"GO:0000103",2,"GO:0000103",1,"GO:0000103",2,"The pathways by which inorganic sulfate is processed and incorporated into sulfated compounds."
"6","GO:0070814","hydrogen sulfide biosynthetic process","BP",1,"N0.HOG0008749","GO:0070814",9,"GO:0070814",3,"GO:0070814",1,"GO:0070814",2,"GO:0070814",1,"GO:0070814",2,"The chemical reactions and pathways resulting in the formation of hydrogen sulfide, H2S."
"7","GO:0006779","porphyrin-containing compound biosynthetic process","BP",1,"N0.HOG0002024","GO:0006779",17,"GO:0006779",9,"GO:0006779",1,"GO:0006779",3,"GO:0006779",2,"GO:0006779",2,"The chemical reactions and pathways resulting in the formation of any member of a large group of derivatives or analogs of porphyrin. Porphyrin consists of a ring of four pyrrole nuclei linked each to the next at their alpha positions through a methine group."
"8","GO:0006782","protoporphyrinogen IX biosynthetic process","BP",1,"N0.HOG0002024","GO:0006782",17,"GO:0006782",9,"GO:0006782",1,"GO:0006782",3,"GO:0006782",2,"GO:0006782",2,"The chemical reactions and pathways resulting in the formation of protoporphyrinogen IX."
"9","GO:0015995","chlorophyll biosynthetic process","BP",2,"N0.HOG0013469 N0.HOG0002024","GO:0015995",25,"GO:0015995",12,"GO:0015995",2,"GO:0015995",4,"GO:0015995",3,"GO:0015995",4,"The chemical reactions and pathways resulting in the formation of chlorophyll, any compound of magnesium complexed in a porphyrin (tetrapyrrole) ring and which functions as a photosynthetic pigment, from less complex precursors."
"10","GO:0033014","tetrapyrrole biosynthetic process","BP",1,"N0.HOG0002024","GO:0033014",17,"GO:0033014",9,"GO:0033014",1,"GO:0033014",3,"GO:0033014",2,"GO:0033014",2,"The chemical reactions and pathways leading to the formation of tetrapyrroles, natural pigments containing four pyrrole rings joined by one-carbon units linking position 2 of one pyrrole ring to position 5 of the next."
"11","GO:0006099","tricarboxylic acid cycle","BP",2,"N0.HOG0005500 N0.HOG0005386","GO:0006099",22,"GO:0006099",9,"GO:0006099",2,"GO:0006099",5,"GO:0006099",2,"GO:0006099",4,"A nearly universal metabolic pathway in which the acetyl group of acetyl coenzyme A is effectively oxidized to two CO2 and four pairs of electrons are transferred to coenzymes. The acetyl group combines with oxaloacetate to form citrate, which undergoes successive transformations to isocitrate, 2-oxoglutarate, succinyl-CoA, succinate, fumarate, malate, and oxaloacetate again, thus completing the cycle. In eukaryotes the tricarboxylic acid is confined to the mitochondria. See also glyoxylate cycle."
"12","GO:0006107","oxaloacetate metabolic process","BP",2,"N0.HOG0008450 N0.HOG0005386","GO:0006107",20,"GO:0006107",6,"GO:0006107",2,"GO:0006107",6,"GO:0006107",2,"GO:0006107",4,"The chemical reactions and pathways involving oxaloacetate, the anion of oxobutanedioic acid, an important intermediate in metabolism, especially as a component of the TCA cycle."
"13","GO:0006108","malate metabolic process","BP",2,"N0.HOG0008450 N0.HOG0005386","GO:0006108",20,"GO:0006108",6,"GO:0006108",2,"GO:0006108",6,"GO:0006108",2,"GO:0006108",4,"The chemical reactions and pathways involving malate, the anion of hydroxybutanedioic acid, a chiral hydroxydicarboxylic acid. The (+) enantiomer is an important intermediate in metabolism as a component of both the TCA cycle and the glyoxylate cycle."
