"","GOID","GOTERM","ONTOLOGY","HOGs_with_GO_COUNT","HOGs_with_GO","TOTAL_COUNT.all_GO_ID","TOTAL_COUNT.Freq","Ta_COUNT.Var1","Ta_COUNT.Freq","Os_COUNT.Var1","Os_COUNT.Freq","Ms_COUNT.Var1","Ms_COUNT.Freq","Sb_COUNT.Var1","Sb_COUNT.Freq","Zm_COUNT.Var1","Zm_COUNT.Freq","DEFINITION"
"1","GO:0006412","translation","BP",15,"N0.HOG0008814 N0.HOG0010031 N0.HOG0001759 N0.HOG0008923 N0.HOG0008312 N0.HOG0011790 N0.HOG0013171 N0.HOG0017994 N0.HOG0011358 N0.HOG0011614 N0.HOG0006840 N0.HOG0015172 N0.HOG0010086 N0.HOG0008110 N0.HOG0009279","GO:0006412",138,"GO:0006412",34,"GO:0006412",16,"GO:0006412",34,"GO:0006412",16,"GO:0006412",38,"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome."
"2","GO:0006414","translational elongation","BP",5,"N0.HOG0009649 N0.HOG0011790 N0.HOG0011614 N0.HOG0006840 N0.HOG0015172","GO:0006414",41,"GO:0006414",10,"GO:0006414",5,"GO:0006414",9,"GO:0006414",5,"GO:0006414",12,"The successive addition of amino acid residues to a nascent polypeptide chain during protein biosynthesis."
"3","GO:0045050","protein insertion into ER membrane by stop-transfer membrane-anchor sequence","BP",1,"N0.HOG0011596","GO:0045050",7,"GO:0045050",1,"GO:0045050",1,"GO:0045050",2,"GO:0045050",1,"GO:0045050",2,"A process of protein insertion into the endoplasmic reticulum (ER) membrane in which stop-transfer membrane-anchor sequences become an ER membrane spanning helix."
"4","GO:0071816","tail-anchored membrane protein insertion into ER membrane","BP",1,"N0.HOG0011596","GO:0071816",7,"GO:0071816",1,"GO:0071816",1,"GO:0071816",2,"GO:0071816",1,"GO:0071816",2,"A process of protein insertion into the endoplasmic reticulum (ER) membrane in which a tail-anchored (TA) transmembrane protein is incorporated into an endoplasmic reticulum (ER) membrane. TA transmembrane protein, also named type II transmembrane proteins, contain a single C- terminal transmembrane region."
"5","GO:0000373","Group II intron splicing","BP",2,"N0.HOG0009117 N0.HOG0016517","GO:0000373",16,"GO:0000373",4,"GO:0000373",2,"GO:0000373",4,"GO:0000373",2,"GO:0000373",4,"The splicing of Group II introns. This occurs by a ribozymic mechanism where the intron sequence forms a distinct 3D structure, characteristic of Group II introns and containing splice site consensus sequences, that is involved in catalyzing the splicing reactions, though protein factors are also required in vivo. Splicing occurs by a series of two transesterification reactions (mechanistically similar to those for splicing of nuclear mRNAs) initiated by a bulged adenosine residue within the intron sequence as the initiating nucleophile. The intron is excised as a lariat."
"6","GO:0009658","chloroplast organization","BP",3,"N0.HOG0016517 N0.HOG0007495 N0.HOG0019394","GO:0009658",22,"GO:0009658",5,"GO:0009658",3,"GO:0009658",5,"GO:0009658",3,"GO:0009658",6,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the chloroplast."
"7","GO:0042254","ribosome biogenesis","BP",5,"N0.HOG0016517 N0.HOG0014285 N0.HOG0007398 N0.HOG0015564 N0.HOG0006460","GO:0042254",40,"GO:0042254",11,"GO:0042254",5,"GO:0042254",9,"GO:0042254",5,"GO:0042254",10,"A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of ribosome subunits; includes transport to the sites of protein synthesis."
"8","GO:0044238","primary metabolic process","BP",3,"N0.HOG0009117 N0.HOG0016517 N0.HOG0003029","GO:0044238",31,"GO:0044238",7,"GO:0044238",3,"GO:0044238",6,"GO:0044238",3,"GO:0044238",12,"The chemical reactions and pathways involving those compounds which are formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."
"9","GO:0006325","chromatin organization","BP",8,"N0.HOG0004347 N0.HOG0017900 N0.HOG0008842 N0.HOG0008344 N0.HOG0013797 N0.HOG0008489 N0.HOG0010124 N0.HOG0003448","GO:0006325",64,"GO:0006325",18,"GO:0006325",7,"GO:0006325",16,"GO:0006325",7,"GO:0006325",16,"The assembly or remodeling of chromatin composed of DNA complexed with histones, other associated proteins, and sometimes RNA."
"10","GO:0009404","toxin metabolic process","BP",1,"N0.HOG0008842","GO:0009404",8,"GO:0009404",3,"GO:0009404",1,"GO:0009404",2,"GO:0009404",1,"GO:0009404",1,"The chemical reactions and pathways involving a toxin, a poisonous compound (typically a protein) that is produced by cells or organisms and that can cause disease when introduced into the body or tissues of an organism."
