"","x"
"1","N0.HOG0001572"
"2","N0.HOG0003297"
"3","N0.HOG0000135"
"4","N0.HOG0000208"
"5","N0.HOG0000340"
"6","N0.HOG0000362"
"7","N0.HOG0000585"
"8","N0.HOG0000995"
"9","N0.HOG0001045"
"10","N0.HOG0001331"
"11","N0.HOG0001401"
"12","N0.HOG0001609"
"13","N0.HOG0001932"
"14","N0.HOG0001933"
"15","N0.HOG0001967"
"16","N0.HOG0002025"
"17","N0.HOG0002293"
"18","N0.HOG0002643"
"19","N0.HOG0002693"
"20","N0.HOG0002924"
"21","N0.HOG0002991"
"22","N0.HOG0003195"
"23","N0.HOG0003322"
"24","N0.HOG0003381"
"25","N0.HOG0003601"
"26","N0.HOG0003678"
"27","N0.HOG0003745"
"28","N0.HOG0003748"
"29","N0.HOG0003751"
"30","N0.HOG0003784"
"31","N0.HOG0003988"
"32","N0.HOG0004017"
"33","N0.HOG0004030"
"34","N0.HOG0004123"
"35","N0.HOG0004343"
"36","N0.HOG0004356"
"37","N0.HOG0004368"
"38","N0.HOG0004383"
"39","N0.HOG0004394"
"40","N0.HOG0004452"
"41","N0.HOG0004486"
"42","N0.HOG0004545"
"43","N0.HOG0004647"
"44","N0.HOG0004650"
"45","N0.HOG0004674"
"46","N0.HOG0004793"
"47","N0.HOG0004797"
"48","N0.HOG0005581"
"49","N0.HOG0006232"
"50","N0.HOG0006377"
"51","N0.HOG0006831"
